feature,importance
price_lag_1,0.9696051523946749
hour,0.0074748289985895194
solar_mw,0.002982339139588634
price_lag_24,0.0025531092153520123
residual_load,0.0019692352202940935
price_lag_168,0.0016947940606274465
price_std_24h,0.0016884944597863913
price_mean_168h,0.0010829702597331182
renewable_share,0.0010400286583944066
hydro_reservoir_mw,0.0009549692256801024
price_mean_24h,0.0008736657101807039
renewable_generation,0.0008393453684824254
load_mw,0.0008251508371676625
lignite_mw,0.0008228181444452883
price_lag_48,0.0007601839585847381
biomass_mw,0.0007574635680816416
price_std_168h,0.000669779588562138
gas_mw,0.0005949264516162629
wind_onshore_mw,0.0005440443254330454
hydro_run_mw,0.0005137331700802998
hard_coal_mw,0.0004985411633014528
day_of_year,0.0004803456748956406
wind_offshore_mw,0.0004224895802071463
day_of_week,0.0002346243023462572
month,6.998762706826872e-05
weekend,2.467995916303997e-05
quarter,2.2298937663151123e-05
