feature,importance
price_lag_1,0.9651959750355694
hour,0.007479849349460599
solar_mw,0.0031600979243477027
price_lag_24,0.003130131438832174
price_lag_168,0.002205531365028483
residual_load,0.002131934728957607
price_std_24h,0.002000093156095282
price_mean_168h,0.0017697833998162524
renewable_share,0.0013115059848879144
hydro_reservoir_mw,0.0012158030007389318
price_mean_24h,0.0012151961054135433
lignite_mw,0.0011797647401233415
renewable_generation,0.00106304624632282
biomass_mw,0.0009966726046440211
load_mw,0.000973146065100217
wind_onshore_mw,0.0009729446215572374
hydro_run_mw,0.0009412977709556316
gas_mw,0.0009288332244886135
hard_coal_mw,0.0007364375361192587
wind_offshore_mw,0.0006904039064361109
month,0.0003531898125075669
day_of_week,0.0003059322325757013
weekend,4.242975002161617e-05
