feature,importance
price_lag_1,0.76600343
price_lag_24,0.12538382
price_lag_168,0.019006593
price_mean_24h,0.010663941
hour,0.008700286
residual_load,0.0063263485
price_mean_168h,0.0062941285
hydro_reservoir_mw,0.006034878
price_std_24h,0.005681937
day_of_week,0.005037818
solar_mw,0.004741849
gas_mw,0.0046015712
weekend,0.004421236
month,0.0043329285
renewable_share,0.004315542
hydro_pumped_mw,0.003909439
storage_mw,0.0033998801
wind_onshore_mw,0.0031091736
lignite_mw,0.0029896095
renewable_generation,0.0028443504
load_mw,0.0022012992
oil_mw,0.0
