feature,importance
price_lag_1,0.48719522
price_mean_24h,0.3253981
price_lag_24,0.07911655
residual_load,0.017487343
price_lag_168,0.015883364
renewable_share,0.010858914
lignite_mw,0.0065043764
biomass_mw,0.005952132
price_std_24h,0.005287365
price_mean_168h,0.004892092
hour,0.004358902
day_of_week,0.0040548504
wind_onshore_mw,0.003917355
hydro_reservoir_mw,0.0034742062
solar_mw,0.0033118706
renewable_generation,0.0030556875
price_lag_48,0.002820945
weekend,0.002575383
price_std_168h,0.0023240154
hard_coal_mw,0.0022355707
gas_mw,0.0020583875
month,0.001414262
day_of_year,0.0013918871
load_mw,0.001243423
quarter,0.0011354479
wind_offshore_mw,0.0010349576
hydro_run_mw,0.0010174033
