datetime,load_mwh,temperature_2m,relative_humidity_2m,wind_speed_10m,cloud_cover,surface_pressure,shortwave_radiation
2019-12-31 23:00:00,5337.38,2.4,81,7.6,0,1012.4,0.0
2020-01-01 00:00:00,5219.17,1.8,76,8.8,0,1011.9,0.0
2020-01-01 01:00:00,4910.21,1.2,74,8.7,0,1011.2,0.0
2020-01-01 02:00:00,4677.46,1.1,70,9.3,0,1011.0,0.0
2020-01-01 03:00:00,4571.97,0.8,68,9.4,0,1010.4,0.0
2020-01-01 04:00:00,4629.67,0.7,65,10.7,8,1009.7,0.0
2020-01-01 05:00:00,4720.0,0.8,63,11.4,96,1009.4,0.0
2020-01-01 06:00:00,4909.1,1.4,61,11.6,97,1009.5,0.0
2020-01-01 07:00:00,5404.74,2.4,62,10.4,70,1009.5,1.0
2020-01-01 08:00:00,5983.89,4.2,60,6.7,91,1010.1,69.0
2020-01-01 09:00:00,6549.02,6.7,59,1.6,98,1010.5,125.0
2020-01-01 10:00:00,6656.94,9.1,54,3.9,100,1011.1,167.0
2020-01-01 11:00:00,6326.15,9.3,63,9.8,98,1010.7,134.0
2020-01-01 12:00:00,5740.08,10.4,59,13.8,58,1010.1,247.0
2020-01-01 13:00:00,5721.83,11.0,63,17.6,67,1009.5,297.0
2020-01-01 14:00:00,5812.96,10.2,68,16.1,93,1010.0,222.0
2020-01-01 15:00:00,5984.31,8.7,78,14.6,99,1010.6,59.0
2020-01-01 16:00:00,6424.17,8.0,78,15.5,98,1010.6,17.0
2020-01-01 17:00:00,6448.52,7.7,74,15.1,96,1010.8,0.0
2020-01-01 18:00:00,6425.15,7.4,74,13.4,49,1011.4,0.0
2020-01-01 19:00:00,6232.87,6.9,73,15.2,6,1012.1,0.0
2020-01-01 20:00:00,5918.65,6.2,72,13.7,1,1012.5,0.0
2020-01-01 21:00:00,5613.05,5.4,72,11.6,1,1012.8,0.0
2020-01-01 22:00:00,5101.76,4.6,73,10.0,18,1013.0,0.0
2020-01-01 23:00:00,4624.61,4.3,74,9.7,29,1013.2,0.0
2020-01-02 00:00:00,4505.32,3.9,77,9.0,41,1013.1,0.0
2020-01-02 01:00:00,4321.27,4.5,79,12.7,9,1013.1,0.0
2020-01-02 02:00:00,4203.24,4.8,77,12.4,50,1013.4,0.0
2020-01-02 03:00:00,4241.77,4.5,77,12.1,48,1013.4,0.0
2020-01-02 04:00:00,4631.49,4.2,76,12.3,52,1013.4,0.0
2020-01-02 05:00:00,5158.25,4.0,76,13.0,51,1013.4,0.0
2020-01-02 06:00:00,5741.29,4.2,73,14.5,66,1013.6,0.0
2020-01-02 07:00:00,6474.42,4.1,77,15.9,40,1013.5,2.0
2020-01-02 08:00:00,6958.03,5.1,70,15.9,62,1013.6,59.0
2020-01-02 09:00:00,7147.28,5.7,68,15.8,29,1013.9,176.0
2020-01-02 10:00:00,7320.25,6.8,60,20.6,42,1014.0,287.0
2020-01-02 11:00:00,7324.18,7.3,60,21.3,57,1013.3,380.0
2020-01-02 12:00:00,7111.34,7.6,58,20.3,53,1012.8,376.0
2020-01-02 13:00:00,7185.89,7.3,59,22.6,41,1012.2,335.0
2020-01-02 14:00:00,7107.15,7.4,57,19.5,28,1012.0,279.0
2020-01-02 15:00:00,7232.52,7.1,59,18.0,57,1012.2,189.0
2020-01-02 16:00:00,7628.55,6.1,61,17.0,11,1012.2,68.0
2020-01-02 17:00:00,7625.7,5.3,63,15.6,22,1012.2,1.0
2020-01-02 18:00:00,7493.57,5.2,64,14.0,29,1012.8,0.0
2020-01-02 19:00:00,7090.45,5.1,62,14.1,30,1013.2,0.0
2020-01-02 20:00:00,6500.06,5.5,60,17.0,20,1012.7,0.0
2020-01-02 21:00:00,6186.58,5.2,63,14.2,21,1012.9,0.0
2020-01-02 22:00:00,5606.54,5.1,65,14.6,2,1013.0,0.0
2020-01-02 23:00:00,5036.41,4.6,68,13.1,53,1013.0,0.0
2020-01-03 00:00:00,4947.32,4.6,69,12.0,15,1013.0,0.0
2020-01-03 01:00:00,4741.93,5.4,70,14.3,65,1012.3,0.0
2020-01-03 02:00:00,4626.23,5.6,71,13.2,29,1012.4,0.0
2020-01-03 03:00:00,4628.81,5.4,70,13.1,53,1012.0,0.0
2020-01-03 04:00:00,5068.6,5.2,70,12.6,24,1011.5,0.0
2020-01-03 05:00:00,5683.29,5.2,69,13.1,10,1011.6,0.0
2020-01-03 06:00:00,6417.84,5.2,68,11.4,62,1011.9,0.0
2020-01-03 07:00:00,7213.64,4.9,68,10.6,71,1012.5,2.0
2020-01-03 08:00:00,7455.12,6.7,61,10.1,58,1012.7,73.0
2020-01-03 09:00:00,7503.05,8.4,54,7.9,30,1012.9,222.0
2020-01-03 10:00:00,7477.65,9.6,50,18.7,0,1012.9,370.0
2020-01-03 11:00:00,7421.94,10.0,47,19.1,0,1011.9,443.0
2020-01-03 12:00:00,7147.15,10.4,47,19.5,0,1011.3,494.0
2020-01-03 13:00:00,7202.01,10.2,52,22.0,0,1010.1,462.0
2020-01-03 14:00:00,7203.35,9.9,53,19.9,0,1009.8,373.0
2020-01-03 15:00:00,7571.15,9.2,58,17.1,34,1010.0,229.0
2020-01-03 16:00:00,8082.22,7.6,64,14.6,32,1010.3,83.0
2020-01-03 17:00:00,8074.24,5.9,70,11.4,17,1010.5,2.0
2020-01-03 18:00:00,7943.82,4.6,76,8.1,12,1010.7,0.0
2020-01-03 19:00:00,7432.73,4.9,70,6.2,20,1011.0,0.0
2020-01-03 20:00:00,6864.82,5.2,68,5.9,44,1010.7,0.0
2020-01-03 21:00:00,6414.2,5.7,66,5.2,53,1010.6,0.0
2020-01-03 22:00:00,5769.75,4.7,73,5.7,71,1010.5,0.0
2020-01-03 23:00:00,5254.16,4.0,75,6.5,42,1010.1,0.0
2020-01-04 00:00:00,5179.09,4.2,73,6.6,21,1009.9,0.0
2020-01-04 01:00:00,4973.19,5.3,59,6.4,19,1009.4,0.0
2020-01-04 02:00:00,4803.89,5.0,59,6.1,8,1009.1,0.0
2020-01-04 03:00:00,4857.09,4.2,62,6.4,17,1008.7,0.0
