datetime,forecast_load_mw
2026-07-24 00:00:00,22770.996
2026-07-24 01:00:00,22193.312
2026-07-24 02:00:00,21498.127
2026-07-24 03:00:00,20829.633
2026-07-24 04:00:00,21140.896
2026-07-24 05:00:00,21256.736
2026-07-24 06:00:00,23120.004
2026-07-24 07:00:00,25042.438
2026-07-24 08:00:00,26691.459
2026-07-24 09:00:00,28248.473
2026-07-24 10:00:00,28594.746
2026-07-24 11:00:00,28098.062
2026-07-24 12:00:00,27688.865
2026-07-24 13:00:00,26501.201
2026-07-24 14:00:00,26155.691
2026-07-24 15:00:00,25853.912
2026-07-24 16:00:00,27274.68
2026-07-24 17:00:00,29684.146
2026-07-24 18:00:00,30384.87
2026-07-24 19:00:00,29666.54
2026-07-24 20:00:00,28186.746
2026-07-24 21:00:00,26644.129
2026-07-24 22:00:00,24556.037
2026-07-24 23:00:00,22496.203
