datetime,temperature,wind_speed,cloud_cover,solar_radiation
2015-01-01 00:00:00,-0.7,3.0,0,0.0
2015-01-01 01:00:00,-1.0,4.2,15,0.0
2015-01-01 02:00:00,-1.1,5.4,27,0.0
2015-01-01 03:00:00,-1.8,6.6,62,0.0
2015-01-01 04:00:00,-3.1,5.4,62,0.0
2015-01-01 05:00:00,-2.7,5.5,62,0.0
2015-01-01 06:00:00,-2.5,6.8,62,0.0
2015-01-01 07:00:00,-2.5,4.0,66,0.0
2015-01-01 08:00:00,-2.4,8.0,94,1.0
2015-01-01 09:00:00,-1.6,8.7,100,44.0
2015-01-01 10:00:00,-0.6,9.0,62,96.0
2015-01-01 11:00:00,0.1,9.0,59,133.0
2015-01-01 12:00:00,0.7,9.8,78,142.0
2015-01-01 13:00:00,1.3,10.7,89,163.0
2015-01-01 14:00:00,1.5,10.2,92,166.0
2015-01-01 15:00:00,1.2,8.8,99,106.0
2015-01-01 16:00:00,0.2,10.9,97,31.0
2015-01-01 17:00:00,-0.3,13.8,96,0.0
2015-01-01 18:00:00,-0.6,14.8,99,0.0
2015-01-01 19:00:00,0.4,15.0,92,0.0
2015-01-01 20:00:00,0.2,15.5,50,0.0
2015-01-01 21:00:00,0.1,16.9,24,0.0
2015-01-01 22:00:00,0.1,20.0,89,0.0
2015-01-01 23:00:00,0.4,18.7,95,0.0
2015-01-02 00:00:00,0.8,19.1,96,0.0
2015-01-02 01:00:00,1.2,20.2,97,0.0
2015-01-02 02:00:00,1.8,20.1,93,0.0
2015-01-02 03:00:00,2.4,21.1,99,0.0
2015-01-02 04:00:00,3.2,22.1,100,0.0
2015-01-02 05:00:00,4.1,22.2,100,0.0
2015-01-02 06:00:00,4.9,21.9,100,0.0
2015-01-02 07:00:00,5.8,22.9,100,0.0
2015-01-02 08:00:00,6.4,22.5,100,0.0
2015-01-02 09:00:00,7.0,22.3,100,3.0
2015-01-02 10:00:00,7.7,19.9,100,7.0
2015-01-02 11:00:00,8.4,18.7,100,25.0
2015-01-02 12:00:00,9.2,16.5,100,35.0
2015-01-02 13:00:00,9.7,13.7,99,40.0
2015-01-02 14:00:00,10.0,12.4,71,94.0
2015-01-02 15:00:00,9.4,11.8,47,89.0
2015-01-02 16:00:00,7.9,8.2,65,30.0
2015-01-02 17:00:00,6.7,8.7,93,0.0
2015-01-02 18:00:00,5.4,8.4,86,0.0
2015-01-02 19:00:00,3.7,7.3,85,0.0
2015-01-02 20:00:00,2.5,7.6,63,0.0
2015-01-02 21:00:00,1.3,8.6,12,0.0
2015-01-02 22:00:00,0.0,5.7,71,0.0
2015-01-02 23:00:00,-0.9,5.4,100,0.0
2015-01-03 00:00:00,-1.6,6.8,48,0.0
2015-01-03 01:00:00,-1.7,6.8,52,0.0
2015-01-03 02:00:00,-1.2,7.0,96,0.0
2015-01-03 03:00:00,-0.2,10.1,100,0.0
2015-01-03 04:00:00,0.8,11.3,97,0.0
2015-01-03 05:00:00,1.6,14.1,100,0.0
2015-01-03 06:00:00,2.4,14.4,100,0.0
2015-01-03 07:00:00,2.7,14.2,100,0.0
2015-01-03 08:00:00,3.3,16.2,100,0.0
2015-01-03 09:00:00,4.2,19.7,100,4.0
2015-01-03 10:00:00,6.3,23.2,100,13.0
2015-01-03 11:00:00,9.2,26.7,100,14.0
2015-01-03 12:00:00,10.9,30.8,100,18.0
2015-01-03 13:00:00,11.6,31.2,100,38.0
2015-01-03 14:00:00,11.9,31.9,100,21.0
2015-01-03 15:00:00,12.0,30.6,100,16.0
2015-01-03 16:00:00,11.9,28.2,100,4.0
2015-01-03 17:00:00,12.1,27.2,100,0.0
2015-01-03 18:00:00,12.0,26.0,100,0.0
2015-01-03 19:00:00,11.3,25.6,100,0.0
2015-01-03 20:00:00,11.2,24.1,100,0.0
2015-01-03 21:00:00,11.0,21.3,100,0.0
2015-01-03 22:00:00,10.6,16.3,100,0.0
2015-01-03 23:00:00,9.6,14.2,100,0.0
