datetime,temperature,wind_speed,cloud_cover,solar_radiation
2015-01-01 00:00:00,3.3,20.7,34,0.0
2015-01-01 01:00:00,3.2,20.8,38,0.0
2015-01-01 02:00:00,3.1,20.7,14,0.0
2015-01-01 03:00:00,2.9,20.0,10,0.0
2015-01-01 04:00:00,2.7,18.1,19,0.0
2015-01-01 05:00:00,2.6,22.5,8,0.0
2015-01-01 06:00:00,2.5,22.1,8,0.0
2015-01-01 07:00:00,2.1,21.7,6,0.0
2015-01-01 08:00:00,2.0,19.6,12,0.0
2015-01-01 09:00:00,2.2,21.1,100,32.0
2015-01-01 10:00:00,2.8,21.0,100,76.0
2015-01-01 11:00:00,3.5,21.7,100,115.0
2015-01-01 12:00:00,4.1,22.6,99,125.0
2015-01-01 13:00:00,4.4,20.9,100,162.0
2015-01-01 14:00:00,4.4,24.1,100,109.0
2015-01-01 15:00:00,4.3,25.2,100,41.0
2015-01-01 16:00:00,4.3,26.1,99,5.0
2015-01-01 17:00:00,4.3,27.7,100,0.0
2015-01-01 18:00:00,4.4,29.1,100,0.0
2015-01-01 19:00:00,4.8,31.1,100,0.0
2015-01-01 20:00:00,5.1,33.2,100,0.0
2015-01-01 21:00:00,5.4,35.3,100,0.0
2015-01-01 22:00:00,5.6,35.9,100,0.0
2015-01-01 23:00:00,5.7,37.0,100,0.0
2015-01-02 00:00:00,5.9,38.0,100,0.0
2015-01-02 01:00:00,6.5,38.3,100,0.0
2015-01-02 02:00:00,7.4,38.0,100,0.0
2015-01-02 03:00:00,8.1,37.4,100,0.0
2015-01-02 04:00:00,9.0,37.7,100,0.0
2015-01-02 05:00:00,9.8,36.1,100,0.0
2015-01-02 06:00:00,10.4,34.8,100,0.0
2015-01-02 07:00:00,10.3,31.7,99,0.0
2015-01-02 08:00:00,9.1,30.6,67,0.0
2015-01-02 09:00:00,8.1,29.1,89,27.0
2015-01-02 10:00:00,8.0,27.3,46,96.0
2015-01-02 11:00:00,8.0,28.2,60,166.0
2015-01-02 12:00:00,8.0,29.7,7,211.0
2015-01-02 13:00:00,7.8,30.3,23,197.0
2015-01-02 14:00:00,7.5,30.3,4,150.0
2015-01-02 15:00:00,7.1,29.2,5,72.0
2015-01-02 16:00:00,6.8,30.0,14,8.0
2015-01-02 17:00:00,6.7,30.1,17,0.0
2015-01-02 18:00:00,6.6,28.6,18,0.0
2015-01-02 19:00:00,6.6,27.0,13,0.0
2015-01-02 20:00:00,6.5,26.6,42,0.0
2015-01-02 21:00:00,6.2,26.0,65,0.0
2015-01-02 22:00:00,6.1,25.9,92,0.0
2015-01-02 23:00:00,6.0,22.7,99,0.0
2015-01-03 00:00:00,6.0,20.2,100,0.0
2015-01-03 01:00:00,5.8,18.9,100,0.0
2015-01-03 02:00:00,5.5,18.9,100,0.0
2015-01-03 03:00:00,5.5,18.0,100,0.0
2015-01-03 04:00:00,5.5,18.5,98,0.0
2015-01-03 05:00:00,5.6,19.1,100,0.0
2015-01-03 06:00:00,5.6,22.2,100,0.0
2015-01-03 07:00:00,5.9,23.6,100,0.0
2015-01-03 08:00:00,6.0,24.8,100,0.0
2015-01-03 09:00:00,5.5,21.6,100,9.0
2015-01-03 10:00:00,5.2,14.8,100,20.0
2015-01-03 11:00:00,5.0,15.3,100,45.0
2015-01-03 12:00:00,4.9,16.6,100,42.0
2015-01-03 13:00:00,4.4,14.6,100,39.0
2015-01-03 14:00:00,3.9,12.4,100,31.0
2015-01-03 15:00:00,3.7,10.2,100,18.0
2015-01-03 16:00:00,3.8,10.1,100,3.0
2015-01-03 17:00:00,4.2,11.7,100,0.0
2015-01-03 18:00:00,4.9,11.5,99,0.0
2015-01-03 19:00:00,5.8,13.7,61,0.0
