Trade_ID,Entry_Time,Exit_Time,Entry_Price,Exit_Price,PnL,Holding_Hours,Strategy_ID
1,2023-01-03 23:00:00,2023-01-04 17:00:00,93.66,86.16,-7.5,18.0,1
2,2023-01-04 23:00:00,2023-01-05 06:00:00,9.09,61.04,51.95,7.0,1
3,2023-01-07 04:00:00,2023-01-08 04:00:00,82.99,5.58,-77.41,24.0,1
4,2023-01-10 21:00:00,2023-01-11 08:00:00,86.53,127.44,40.91,11.0,1
5,2023-01-12 01:00:00,2023-01-12 07:00:00,5.55,111.55,106.0,6.0,1
6,2023-01-13 02:00:00,2023-01-13 07:00:00,9.0,87.88,78.88,5.0,1
7,2023-01-14 13:00:00,2023-01-15 13:00:00,25.25,0.42,-24.83,24.0,1
8,2023-01-15 14:00:00,2023-01-15 18:00:00,0.29,26.95,26.66,4.0,1
9,2023-01-18 23:00:00,2023-01-19 07:00:00,112.68,149.62,36.94,8.0,1
10,2023-01-21 03:00:00,2023-01-21 09:00:00,133.74,171.66,37.91999999999999,6.0,1
11,2023-01-21 23:00:00,2023-01-22 09:00:00,117.76,145.82,28.059999999999988,10.0,1
12,2023-01-26 01:00:00,2023-01-26 07:00:00,140.33,186.98,46.64999999999998,6.0,1
13,2023-01-27 03:00:00,2023-01-27 07:00:00,125.11,176.1,50.989999999999995,4.0,1
14,2023-01-28 03:00:00,2023-01-28 10:00:00,129.59,161.57,31.97999999999999,7.0,1
15,2023-01-29 12:00:00,2023-01-29 17:00:00,115.31,156.14,40.829999999999984,5.0,1
16,2023-01-29 20:00:00,2023-01-30 07:00:00,99.84,102.18,2.3400000000000034,11.0,1
17,2023-01-31 23:00:00,2023-02-01 07:00:00,69.56,112.75,43.19,8.0,1
18,2023-02-03 03:00:00,2023-02-03 17:00:00,87.83,112.4,24.570000000000007,14.0,1
19,2023-02-05 04:00:00,2023-02-05 17:00:00,116.2,147.57,31.36999999999999,13.0,1
20,2023-02-10 22:00:00,2023-02-11 15:00:00,89.19,101.13,11.939999999999998,17.0,1
21,2023-02-17 01:00:00,2023-02-17 08:00:00,98.61,129.9,31.290000000000006,7.0,1
22,2023-02-17 13:00:00,2023-02-18 05:00:00,67.63,70.1,2.469999999999999,16.0,1
23,2023-02-20 00:00:00,2023-02-20 17:00:00,78.87,94.99,16.11999999999999,17.0,1
24,2023-02-24 01:00:00,2023-02-24 07:00:00,118.18,155.05,36.870000000000005,6.0,1
25,2023-02-24 11:00:00,2023-02-24 18:00:00,109.02,136.41,27.39,7.0,1
26,2023-02-24 20:00:00,2023-02-25 16:00:00,91.35,96.54,5.190000000000012,20.0,1
27,2023-02-26 13:00:00,2023-02-26 17:00:00,55.0,129.9,74.9,4.0,1
28,2023-03-06 23:00:00,2023-03-07 16:00:00,108.58,109.22,0.6400000000000006,17.0,1
29,2023-03-10 01:00:00,2023-03-10 07:00:00,100.68,136.91,36.22999999999999,6.0,1
30,2023-03-10 23:00:00,2023-03-11 07:00:00,87.59,110.09,22.5,8.0,1
