Datetime,Price,Temperature,Humidity,WindSpeed,Rain
2023-01-01 00:00:00,-5.17,10.9,76.0,10.1,0.0
2023-01-01 01:00:00,-1.07,12.4,73.0,15.5,0.0
2023-01-01 02:00:00,-1.47,11.9,73.0,10.8,0.0
2023-01-01 03:00:00,-5.08,11.2,78.0,5.4,0.0
2023-01-01 04:00:00,-4.49,11.7,76.0,4.0,0.0
2023-01-01 05:00:00,-5.4,8.8,88.0,8.6,0.0
2023-01-01 06:00:00,-5.02,11.1,79.0,14.0,0.0
2023-01-01 07:00:00,-1.3,10.9,78.0,12.6,0.0
2023-01-01 08:00:00,-1.44,11.5,75.0,15.8,0.0
2023-01-01 09:00:00,-1.09,11.1,78.0,15.1,0.0
2023-01-01 10:00:00,-1.07,13.3,70.0,14.8,0.0
2023-01-01 11:00:00,-1.07,14.4,64.0,20.5,0.0
2023-01-01 12:00:00,-0.79,14.8,65.0,22.3,0.0
2023-01-01 13:00:00,-0.27,15.0,62.0,22.0,0.0
2023-01-01 14:00:00,0.85,14.7,63.0,20.2,0.0
2023-01-01 15:00:00,23.53,14.2,68.0,15.1,0.0
2023-01-01 16:00:00,36.54,14.3,65.0,11.2,0.0
2023-01-01 17:00:00,46.03,12.1,77.0,6.1,0.0
2023-01-01 18:00:00,55.57,11.5,80.0,6.8,0.0
2023-01-01 19:00:00,54.95,11.2,82.0,6.5,0.0
2023-01-01 20:00:00,49.23,10.7,84.0,2.5,0.0
2023-01-01 21:00:00,44.99,10.3,87.0,4.3,0.0
2023-01-01 22:00:00,45.96,10.3,85.0,4.7,0.0
2023-01-01 23:00:00,35.0,9.2,89.0,2.9,0.0
2023-01-02 00:00:00,57.91,9.0,89.0,1.8,0.0
2023-01-02 01:00:00,51.67,8.6,92.0,3.2,0.0
2023-01-02 02:00:00,52.93,8.6,91.0,3.2,0.0
2023-01-02 03:00:00,44.09,8.3,91.0,2.2,0.0
2023-01-02 04:00:00,50.08,8.1,93.0,1.8,0.0
2023-01-02 05:00:00,69.72,9.8,81.0,4.3,0.0
2023-01-02 06:00:00,105.08,10.6,75.0,5.4,0.0
2023-01-02 07:00:00,140.64,10.4,76.0,6.1,0.0
2023-01-02 08:00:00,145.98,11.4,70.0,7.9,0.0
2023-01-02 09:00:00,147.05,13.3,58.0,16.9,0.0
2023-01-02 10:00:00,145.61,13.5,58.0,19.8,0.0
2023-01-02 11:00:00,143.35,13.6,61.0,20.5,0.0
2023-01-02 12:00:00,144.38,13.0,72.0,29.5,0.0
2023-01-02 13:00:00,143.76,12.7,76.0,28.1,0.0
2023-01-02 14:00:00,148.2,12.5,79.0,24.5,0.0
2023-01-02 15:00:00,155.34,11.7,89.0,20.9,0.1
2023-01-02 16:00:00,162.89,10.7,95.0,21.6,0.9
2023-01-02 17:00:00,170.0,9.7,96.0,20.2,0.9
2023-01-02 18:00:00,174.74,9.9,91.0,15.5,0.0
2023-01-02 19:00:00,164.46,9.1,90.0,19.8,0.0
2023-01-02 20:00:00,153.0,8.6,89.0,14.8,0.0
2023-01-02 21:00:00,141.67,7.9,89.0,17.6,0.0
2023-01-02 22:00:00,134.91,7.5,90.0,16.2,0.0
2023-01-02 23:00:00,124.22,6.8,94.0,19.4,0.0
2023-01-03 00:00:00,130.01,6.4,95.0,14.4,0.0
2023-01-03 01:00:00,120.0,5.8,98.0,13.0,0.0
2023-01-03 02:00:00,118.76,5.7,97.0,10.1,0.0
2023-01-03 03:00:00,115.0,5.7,98.0,10.4,0.0
2023-01-03 04:00:00,113.63,4.6,99.0,5.8,0.0
2023-01-03 05:00:00,116.27,4.6,99.0,3.2,0.0
2023-01-03 06:00:00,138.92,2.6,100.0,4.3,0.0
2023-01-03 07:00:00,159.92,2.0,100.0,7.9,0.0
2023-01-03 08:00:00,169.17,1.6,99.0,6.1,0.0
2023-01-03 09:00:00,171.18,2.7,97.0,5.4,0.0
2023-01-03 10:00:00,168.57,5.3,93.0,7.2,0.0
2023-01-03 11:00:00,169.49,5.6,92.0,6.5,0.0
2023-01-03 12:00:00,164.5,7.9,87.0,14.4,0.0
2023-01-03 13:00:00,160.91,8.5,80.0,15.1,0.0
2023-01-03 14:00:00,163.06,8.9,78.0,16.2,0.0
2023-01-03 15:00:00,167.73,9.2,75.0,13.0,0.0
2023-01-03 16:00:00,166.61,8.6,80.0,13.7,0.0
2023-01-03 17:00:00,170.72,7.3,84.0,12.2,0.0
