feature,mean_abs_shap
lag_1,43.64664196988711
lag_4,5.443121091451501
shortwave_radiation,3.8658609952393106
rolling_mean_96,2.0833636053223357
evening_peak,1.1583538360570156
rolling_mean_672,0.7841958342719302
lag_672,0.7540938346015654
hour,0.6647347011257676
wind_speed_10m,0.5470263634499899
is_off_peak,0.5362219651186979
is_peak,0.5362219650074991
lag_96,0.536014103189064
day_of_week,0.38050022240307774
weekend,0.3116286538028294
morning_ramp,0.2424450987010324
night_period,0.23994620544789724
rolling_std_96,0.1382870852511184
cloud_cover,0.12808268045594146
temperature_2m,0.11126378233832906
month,0.047617537859789935
precipitation,0.012834616120122289
dst_flag,0.0
