Country,ISO3,Date,Metric,Unit,Value
Belgium,BEL,2015-01-01,Demand,TWh,8.04
Belgium,BEL,2015-01-01,Bioenergy,%,2.96
Belgium,BEL,2015-01-01,Coal,%,3.7
Belgium,BEL,2015-01-01,Gas,%,31.21
Belgium,BEL,2015-01-01,Hydro,%,0.44
Belgium,BEL,2015-01-01,Nuclear,%,41.72
Belgium,BEL,2015-01-01,Solar,%,1.04
Belgium,BEL,2015-01-01,Wind,%,8.58
Belgium,BEL,2015-01-01,Bioenergy,TWh,0.2
Belgium,BEL,2015-01-01,Coal,TWh,0.25
Belgium,BEL,2015-01-01,Gas,TWh,2.11
Belgium,BEL,2015-01-01,Hydro,TWh,0.03
Belgium,BEL,2015-01-01,Nuclear,TWh,2.82
Belgium,BEL,2015-01-01,Solar,TWh,0.07
Belgium,BEL,2015-01-01,Wind,TWh,0.58
Belgium,BEL,2015-01-01,Total Generation,TWh,6.76
Belgium,BEL,2015-01-01,Net Imports,TWh,1.28
Belgium,BEL,2015-01-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2015-01-01,Coal,mtCO2,0.26
Belgium,BEL,2015-01-01,Gas,mtCO2,0.89
Belgium,BEL,2015-01-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-01-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-01-01,Solar,mtCO2,0.0
Belgium,BEL,2015-01-01,Wind,mtCO2,0.01
Belgium,BEL,2015-02-01,Demand,TWh,7.33
Belgium,BEL,2015-02-01,Bioenergy,%,3.48
Belgium,BEL,2015-02-01,Coal,%,3.64
Belgium,BEL,2015-02-01,Gas,%,32.62
Belgium,BEL,2015-02-01,Hydro,%,0.5
Belgium,BEL,2015-02-01,Nuclear,%,40.4
Belgium,BEL,2015-02-01,Solar,%,2.15
Belgium,BEL,2015-02-01,Wind,%,6.62
Belgium,BEL,2015-02-01,Bioenergy,TWh,0.21
Belgium,BEL,2015-02-01,Coal,TWh,0.22
Belgium,BEL,2015-02-01,Gas,TWh,1.97
Belgium,BEL,2015-02-01,Hydro,TWh,0.03
Belgium,BEL,2015-02-01,Nuclear,TWh,2.44
Belgium,BEL,2015-02-01,Solar,TWh,0.13
Belgium,BEL,2015-02-01,Wind,TWh,0.4
Belgium,BEL,2015-02-01,Total Generation,TWh,6.04
Belgium,BEL,2015-02-01,Net Imports,TWh,1.29
Belgium,BEL,2015-02-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2015-02-01,Coal,mtCO2,0.23
Belgium,BEL,2015-02-01,Gas,mtCO2,0.83
Belgium,BEL,2015-02-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-02-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-02-01,Solar,mtCO2,0.01
Belgium,BEL,2015-02-01,Wind,mtCO2,0.01
Belgium,BEL,2015-03-01,Demand,TWh,7.61
Belgium,BEL,2015-03-01,Bioenergy,%,3.99
Belgium,BEL,2015-03-01,Coal,%,2.43
Belgium,BEL,2015-03-01,Gas,%,29.12
Belgium,BEL,2015-03-01,Hydro,%,0.35
Belgium,BEL,2015-03-01,Nuclear,%,40.21
Belgium,BEL,2015-03-01,Solar,%,3.99
Belgium,BEL,2015-03-01,Wind,%,8.15
Belgium,BEL,2015-03-01,Bioenergy,TWh,0.23
Belgium,BEL,2015-03-01,Coal,TWh,0.14
Belgium,BEL,2015-03-01,Gas,TWh,1.68
Belgium,BEL,2015-03-01,Hydro,TWh,0.02
Belgium,BEL,2015-03-01,Nuclear,TWh,2.32
Belgium,BEL,2015-03-01,Solar,TWh,0.23
Belgium,BEL,2015-03-01,Wind,TWh,0.47
Belgium,BEL,2015-03-01,Total Generation,TWh,5.77
Belgium,BEL,2015-03-01,Net Imports,TWh,1.84
Belgium,BEL,2015-03-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2015-03-01,Coal,mtCO2,0.14
Belgium,BEL,2015-03-01,Gas,mtCO2,0.71
Belgium,BEL,2015-03-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-03-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-03-01,Solar,mtCO2,0.01
Belgium,BEL,2015-03-01,Wind,mtCO2,0.01
Belgium,BEL,2015-04-01,Demand,TWh,7.12
Belgium,BEL,2015-04-01,Bioenergy,%,4.95
Belgium,BEL,2015-04-01,Coal,%,2.97
Belgium,BEL,2015-04-01,Gas,%,30.89
Belgium,BEL,2015-04-01,Hydro,%,0.4
Belgium,BEL,2015-04-01,Nuclear,%,34.46
Belgium,BEL,2015-04-01,Solar,%,7.72
Belgium,BEL,2015-04-01,Wind,%,6.14
Belgium,BEL,2015-04-01,Bioenergy,TWh,0.25
Belgium,BEL,2015-04-01,Coal,TWh,0.15
Belgium,BEL,2015-04-01,Gas,TWh,1.56
