Country,ISO3,Date,Price
Belgium,BEL,2015-01-01,36.56
Belgium,BEL,2015-01-02,36.56
Belgium,BEL,2015-01-03,36.56
Belgium,BEL,2015-01-04,36.56
Belgium,BEL,2015-01-05,45.2
Belgium,BEL,2015-01-06,44.93
Belgium,BEL,2015-01-07,45.53
Belgium,BEL,2015-01-08,43.23
Belgium,BEL,2015-01-09,36.68
Belgium,BEL,2015-01-10,35.91
Belgium,BEL,2015-01-11,30.43
Belgium,BEL,2015-01-12,38.07
Belgium,BEL,2015-01-13,41.01
Belgium,BEL,2015-01-14,39.99
Belgium,BEL,2015-01-15,42.67
Belgium,BEL,2015-01-16,42.28
Belgium,BEL,2015-01-17,37.05
Belgium,BEL,2015-01-18,38.28
Belgium,BEL,2015-01-19,46.44
Belgium,BEL,2015-01-20,49.81
Belgium,BEL,2015-01-21,50.08
Belgium,BEL,2015-01-22,51.44
Belgium,BEL,2015-01-23,48.49
Belgium,BEL,2015-01-24,42.41
Belgium,BEL,2015-01-25,40.45
Belgium,BEL,2015-01-26,47.17
Belgium,BEL,2015-01-27,48.28
Belgium,BEL,2015-01-28,45.24
Belgium,BEL,2015-01-29,49.17
Belgium,BEL,2015-01-30,43.52
Belgium,BEL,2015-01-31,42.38
Belgium,BEL,2015-02-01,38.57
Belgium,BEL,2015-02-02,54.18
Belgium,BEL,2015-02-03,56.66
Belgium,BEL,2015-02-04,53.67
Belgium,BEL,2015-02-05,52.53
Belgium,BEL,2015-02-06,52.09
Belgium,BEL,2015-02-07,52.49
Belgium,BEL,2015-02-08,48.29
Belgium,BEL,2015-02-09,62.04
Belgium,BEL,2015-02-10,62.09
Belgium,BEL,2015-02-11,55.88
Belgium,BEL,2015-02-12,54.24
Belgium,BEL,2015-02-13,48.85
Belgium,BEL,2015-02-14,44.42
Belgium,BEL,2015-02-15,43.65
Belgium,BEL,2015-02-16,54.93
Belgium,BEL,2015-02-17,49.86
Belgium,BEL,2015-02-18,51.11
Belgium,BEL,2015-02-19,52.07
Belgium,BEL,2015-02-20,51.31
Belgium,BEL,2015-02-21,48.4
Belgium,BEL,2015-02-22,41.11
Belgium,BEL,2015-02-23,47.34
Belgium,BEL,2015-02-24,46.23
Belgium,BEL,2015-02-25,49.12
Belgium,BEL,2015-02-26,48.04
Belgium,BEL,2015-02-27,49.56
Belgium,BEL,2015-02-28,46.46
Belgium,BEL,2015-03-01,30.02
Belgium,BEL,2015-03-02,48.2
Belgium,BEL,2015-03-03,51.2
Belgium,BEL,2015-03-04,47.59
Belgium,BEL,2015-03-05,49.56
Belgium,BEL,2015-03-06,50.36
Belgium,BEL,2015-03-07,40.87
Belgium,BEL,2015-03-08,34.52
Belgium,BEL,2015-03-09,44.91
Belgium,BEL,2015-03-10,47.17
Belgium,BEL,2015-03-11,46.21
Belgium,BEL,2015-03-12,45.43
Belgium,BEL,2015-03-13,45.79
Belgium,BEL,2015-03-14,43.82
Belgium,BEL,2015-03-15,41.97
Belgium,BEL,2015-03-16,54.08
Belgium,BEL,2015-03-17,47.74
Belgium,BEL,2015-03-18,45.28
Belgium,BEL,2015-03-19,46.37
Belgium,BEL,2015-03-20,43.74
Belgium,BEL,2015-03-21,44.37
Belgium,BEL,2015-03-22,34.13
Belgium,BEL,2015-03-23,54.65
Belgium,BEL,2015-03-24,105.01
Belgium,BEL,2015-03-25,57.04
Belgium,BEL,2015-03-26,51.25
Belgium,BEL,2015-03-27,51.85
Belgium,BEL,2015-03-28,39.54
Belgium,BEL,2015-03-29,30.17
Belgium,BEL,2015-03-30,42.38
Belgium,BEL,2015-03-31,43.31
Belgium,BEL,2015-04-01,44.57
Belgium,BEL,2015-04-02,54.05
Belgium,BEL,2015-04-03,62.03
Belgium,BEL,2015-04-04,38.53
Belgium,BEL,2015-04-05,32.07
Belgium,BEL,2015-04-06,43.91
Belgium,BEL,2015-04-07,61.44
Belgium,BEL,2015-04-08,56.73
Belgium,BEL,2015-04-09,53.77
Belgium,BEL,2015-04-10,53.17
Belgium,BEL,2015-04-11,46.63
Belgium,BEL,2015-04-12,30.69
Belgium,BEL,2015-04-13,51.91
Belgium,BEL,2015-04-14,49.9
Belgium,BEL,2015-04-15,48.9
Belgium,BEL,2015-04-16,46.43
Belgium,BEL,2015-04-17,51.27
Belgium,BEL,2015-04-18,35.94
Belgium,BEL,2015-04-19,35.78
Belgium,BEL,2015-04-20,53.12
Belgium,BEL,2015-04-21,50.09
Belgium,BEL,2015-04-22,50.79
Belgium,BEL,2015-04-23,60.86
Belgium,BEL,2015-04-24,50.36
Belgium,BEL,2015-04-25,40.1
Belgium,BEL,2015-04-26,39.45
Belgium,BEL,2015-04-27,50.25
Belgium,BEL,2015-04-28,44.33
Belgium,BEL,2015-04-29,47.46
Belgium,BEL,2015-04-30,46.16
Belgium,BEL,2015-05-01,42.4
Belgium,BEL,2015-05-02,34.4
Belgium,BEL,2015-05-03,27.44
Belgium,BEL,2015-05-04,42.08
Belgium,BEL,2015-05-05,39.39
Belgium,BEL,2015-05-06,33.86
Belgium,BEL,2015-05-07,52.58
Belgium,BEL,2015-05-08,51.58
Belgium,BEL,2015-05-09,36.35
Belgium,BEL,2015-05-10,43.54
Belgium,BEL,2015-05-11,46.86
Belgium,BEL,2015-05-12,44.82
Belgium,BEL,2015-05-13,42.25
Belgium,BEL,2015-05-14,37.67
Belgium,BEL,2015-05-15,47.76
Belgium,BEL,2015-05-16,45.1
Belgium,BEL,2015-05-17,34.04
Belgium,BEL,2015-05-18,43.65
Belgium,BEL,2015-05-19,40.28
Belgium,BEL,2015-05-20,39.25
Belgium,BEL,2015-05-21,37.69
Belgium,BEL,2015-05-22,36.04
Belgium,BEL,2015-05-23,25.69
Belgium,BEL,2015-05-24,19.54
Belgium,BEL,2015-05-25,24.17
Belgium,BEL,2015-05-26,36.39
Belgium,BEL,2015-05-27,43.08
Belgium,BEL,2015-05-28,36.93
Belgium,BEL,2015-05-29,37.8
Belgium,BEL,2015-05-30,25.36
Belgium,BEL,2015-05-31,16.91
Belgium,BEL,2015-06-01,50.04
Belgium,BEL,2015-06-02,32.23
Belgium,BEL,2015-06-03,46.71
Belgium,BEL,2015-06-04,52.95
Belgium,BEL,2015-06-05,43.51
Belgium,BEL,2015-06-06,27.47
Belgium,BEL,2015-06-07,20.15
Belgium,BEL,2015-06-08,37.06
Belgium,BEL,2015-06-09,36.22
Belgium,BEL,2015-06-10,38.25
Belgium,BEL,2015-06-11,40.16
Belgium,BEL,2015-06-12,43.47
Belgium,BEL,2015-06-13,26.27
Belgium,BEL,2015-06-14,20.63
Belgium,BEL,2015-06-15,39.9
Belgium,BEL,2015-06-16,47.58
Belgium,BEL,2015-06-17,41.38
Belgium,BEL,2015-06-18,42.7
Belgium,BEL,2015-06-19,40.53
Belgium,BEL,2015-06-20,49.55
Belgium,BEL,2015-06-21,30.75
Belgium,BEL,2015-06-22,41.19
Belgium,BEL,2015-06-23,44.39
Belgium,BEL,2015-06-24,39.56
Belgium,BEL,2015-06-25,44.39
Belgium,BEL,2015-06-26,46.33
Belgium,BEL,2015-06-27,31.72
Belgium,BEL,2015-06-28,29.33
Belgium,BEL,2015-06-29,41.42
Belgium,BEL,2015-06-30,47.62
Belgium,BEL,2015-07-01,58.03
Belgium,BEL,2015-07-02,63.37
Belgium,BEL,2015-07-03,56.25
Belgium,BEL,2015-07-04,37.55
Belgium,BEL,2015-07-05,33.07
