timestamp,forecast_imbalance,lower_bound,upper_bound,risk_level,model_used
2026-07-28 18:00:00+00:00,263.60724,-454.01933846637576,981.2338160054383,MEDIUM,XGBoost
2026-07-28 18:15:00+00:00,346.38803,-371.23854623004763,1064.0146082417664,MEDIUM,XGBoost
2026-07-28 18:30:00+00:00,364.23642,-353.39015755817263,1081.8629969136414,MEDIUM,XGBoost
2026-07-28 18:45:00+00:00,387.29642,-330.3301599995789,1104.9229944722351,MEDIUM,XGBoost
2026-07-28 19:00:00+00:00,380.12384,-337.50273690387576,1097.7504175679383,MEDIUM,XGBoost
2026-07-28 19:15:00+00:00,380.12384,-337.50273690387576,1097.7504175679383,MEDIUM,XGBoost
2026-07-28 19:30:00+00:00,380.12384,-337.50273690387576,1097.7504175679383,MEDIUM,XGBoost
2026-07-28 19:45:00+00:00,380.12384,-337.50273690387576,1097.7504175679383,MEDIUM,XGBoost
2026-07-28 20:00:00+00:00,152.3724,-565.2541712300476,869.9989832417664,MEDIUM,XGBoost
2026-07-28 20:15:00+00:00,113.52098,-604.1055964009461,831.147558070868,MEDIUM,XGBoost
2026-07-28 20:30:00+00:00,60.33741,-657.2891672627625,777.9639872090515,MEDIUM,XGBoost
2026-07-28 20:45:00+00:00,-40.892685,-758.5192621724304,676.7338922993836,MEDIUM,XGBoost
2026-07-28 21:00:00+00:00,-223.10997,-940.7365473286804,494.51660714313357,MEDIUM,XGBoost
2026-07-28 21:15:00+00:00,-387.9242,-1105.5507715718445,329.7023828999695,MEDIUM,XGBoost
2026-07-28 21:30:00+00:00,-428.29776,-1145.9243372456726,289.3288172261414,MEDIUM,XGBoost
2026-07-28 21:45:00+00:00,-392.98123,-1110.6078089253601,324.6453455464539,MEDIUM,XGBoost
2026-07-28 22:00:00+00:00,-353.54443,-1071.171010829657,364.082143642157,MEDIUM,XGBoost
2026-07-28 22:15:00+00:00,-349.95117,-1067.577749110907,367.675405360907,MEDIUM,XGBoost
