country,year,electricity_generation,electricity_demand,renewables_consumption,fossil_fuel_consumption,primary_energy_consumption
Africa,2010,672.41,676.41,299.146,4106.646,4460.19
Africa,2011,688.68,694.88,307.544,4169.005,4529.279
Africa,2012,725.45,733.6,309.049,4372.651,4734.076
Africa,2013,740.91,750.3,326.263,4505.302,4888.162
Africa,2014,768.06,778.0,351.851,4641.549,5049.482
Africa,2015,790.03,797.82,361.194,4751.086,5163.164
Africa,2016,805.8,812.48,364.653,4857.562,5280.843
Africa,2017,825.62,830.86,389.335,4998.094,5444.701
Africa,2018,855.75,859.47,418.531,5060.675,5530.573
Africa,2019,875.96,874.14,443.538,5180.658,5681.833
Africa,2020,861.09,859.93,475.073,4886.883,5412.605
Africa,2021,905.76,904.65,509.193,5302.949,5870.374
Africa,2022,923.17,925.83,528.702,5373.315,5954.654
Africa,2023,930.89,933.8,554.704,5444.936,6050.292
Africa,2024,961.77,965.72,571.503,5519.12,6139.628
Algeria,2010,45.73,45.66,0.474,438.489,438.995
Algeria,2011,51.22,51.08,1.026,463.396,464.488
Algeria,2012,57.4,57.35,1.071,506.532,507.672
Algeria,2013,59.89,59.8,0.326,536.629,536.977
Algeria,2014,64.27,64.08,0.646,584.925,585.613
Algeria,2015,68.84,68.81,0.562,616.92,617.518
Algeria,2016,71.04,70.79,0.844,616.096,616.996
Algeria,2017,76.07,75.73,1.447,622.254,623.795
Algeria,2018,76.75,76.66,1.816,667.688,669.62
Algeria,2019,81.61,81.47,1.923,692.301,694.349
Algeria,2020,79.37,79.31,1.833,646.949,648.899
Algeria,2021,85.6,84.45,1.684,705.838,707.627
Algeria,2022,91.47,88.9,1.673,732.472,734.248
Algeria,2023,95.88,93.44,1.778,782.639,784.532
Algeria,2024,96.36,93.84,1.837,758.183,760.133
Argentina,2010,126.0,134.6,97.169,760.08,882.268
Argentina,2011,129.49,139.16,93.884,791.213,907.376
Argentina,2012,136.02,143.63,91.078,831.248,944.132
Argentina,2013,139.45,147.51,101.686,885.847,1009.449
Argentina,2014,138.54,148.4,102.627,870.507,993.008
Argentina,2015,145.42,154.38,103.185,883.202,1009.992
Argentina,2016,147.18,156.7,95.882,883.491,1005.722
Argentina,2017,145.61,156.07,103.551,872.594,996.988
Argentina,2018,146.78,156.34,106.101,857.065,986.055
Argentina,2019,139.53,150.22,105.008,793.845,925.658
Argentina,2020,144.64,149.35,101.519,731.666,863.972
Argentina,2021,153.15,155.65,103.147,814.009,948.187
Argentina,2022,145.61,158.49,119.466,856.942,1001.241
Argentina,2023,148.56,163.9,140.409,833.535,1004.261
Argentina,2024,152.51,161.68,144.333,805.21,983.105
Asia,2010,9279.12,9284.27,3605.343,58945.738,64320.453
Asia,2011,9940.439,9946.96,3746.564,62358.297,67605.312
Asia,2012,10413.76,10425.14,4270.77,64577.023,70002.195
Asia,2013,10995.95,11008.45,4713.707,65876.461,71782.398
Asia,2014,11608.34,11619.0,5248.263,67241.508,73772.555
Asia,2015,11762.561,11779.67,5579.107,68120.219,75114.688
Asia,2016,12359.39,12368.51,6050.861,68921.906,76546.836
Asia,2017,13101.64,13098.561,6591.948,70983.016,79234.734
Asia,2018,13890.53,13887.17,7237.954,73038.5,82105.531
Asia,2019,14320.72,14321.1,7956.405,74441.297,84504.664
Asia,2020,14545.22,14554.989,8522.543,73413.375,84082.523
Asia,2021,15656.38,15674.26,9375.36,76741.922,88455.969
Asia,2022,16257.72,16268.56,10291.35,78121.953,90876.898
Asia,2023,17060.699,17077.439,10922.744,80910.461,94503.469
Asia,2024,18014.91,18035.561,12481.891,82613.172,97910.242
Australia,2010,250.97,250.97,61.531,1443.765,1508.838
Australia,2011,256.28,256.28,83.776,1469.942,1558.602
Australia,2012,250.66,250.66,82.696,1448.736,1536.113
Australia,2013,249.56,249.56,95.674,1454.284,1555.586
Australia,2014,247.65,247.65,88.418,1472.994,1566.458
Australia,2015,253.99,253.99,95.058,1501.139,1601.626
Australia,2016,258.23,258.23,108.587,1491.79,1606.889
Australia,2017,258.97,258.97,101.723,1494.319,1602.028
Australia,2018,262.63,262.63,127.007,1491.4,1625.908
Australia,2019,265.9,265.9,140.546,1531.19,1680.293
Australia,2020,265.15,265.15,162.166,1413.45,1585.412
Australia,2021,267.45,267.45,193.787,1383.953,1589.323
Australia,2022,272.92,272.92,218.301,1429.625,1660.79
Australia,2023,273.11,273.11,235.274,1407.307,1657.377
Australia,2024,281.64,281.64,244.22,1413.397,1672.114
