symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,2026-07-17,331.98,334.99,329.0,333.74,63407059,1.76,0.53015,332.4275
AAPL,2026-07-16,328.01,334.68,326.79,333.26,62970617,5.25,1.6,330.685
AAPL,2026-07-15,317.62,328.73,317.32,327.5,60957644,9.88,3.11,322.7925
AAPL,2026-07-14,313.76,316.19,311.91,314.86,36336829,1.1,0.35059,314.18
AAPL,2026-07-13,317.02,323.45,315.78,317.31,43257804,0.295,0.09147688,318.39
AAPL,2026-07-10,314.72,316.91,312.17,315.32,34132321,0.6,0.19065,314.78
AAPL,2026-07-09,310.51,316.53,308.16,316.22,48124500,5.71,1.84,312.855
AAPL,2026-07-08,311.91,314.82,307.05,313.39,41323500,1.48,0.4745,311.7925
AAPL,2026-07-07,315.29,315.48,310.15,310.66,42490002,-4.63,-1.47,312.895
AAPL,2026-07-06,307.36,314.2,307.0,312.66,53590000,5.3,1.72,310.305
AAPL,2026-07-02,294.12,309.42,293.68,308.63,75400626,14.51,4.93,301.4625
AAPL,2026-07-01,293.44,296.59,289.2,294.38,50164232,0.94,0.32034,293.4025
AAPL,2026-06-30,281.17,289.94,280.7,289.36,65100200,8.19,2.91,285.2925
AAPL,2026-06-29,286.73,288.37,279.85,281.74,66427002,-4.99,-1.74,284.1725
AAPL,2026-06-26,275.0,285.95,274.21,283.78,261775500,8.78,3.19,279.735
AAPL,2026-06-25,287.4,288.8,273.75,275.15,107253700,-12.25,-4.26,281.275
AAPL,2026-06-24,295.36,299.7,292.94,293.08,53081900,-2.28,-0.77194,295.27
AAPL,2026-06-23,297.54,301.64,294.18,294.3,52010929,-3.24,-1.09,296.915
AAPL,2026-06-22,297.31,302.42,296.76,297.01,44879914,-0.3,-0.1009,298.375
AAPL,2026-06-18,298.11,300.57,295.62,298.01,85962201,-0.1,-0.03354466,298.0775
AAPL,2026-06-17,300.85,302.07,294.36,295.95,42745100,-4.9,-1.63,298.3075
AAPL,2026-06-16,295.25,300.48,293.97,299.24,39874404,4.0,1.35,297.235
AAPL,2026-06-15,294.12,297.78,291.7,296.42,45732600,2.3,0.78199,295.005
AAPL,2026-06-12,296.03,297.14,289.62,291.13,38784789,-4.9,-1.66,293.48
AAPL,2026-06-11,293.72,297.0,289.59,295.63,42572500,1.91,0.65028,293.985
AAPL,2026-06-10,290.74,294.75,287.38,291.58,52793300,0.84,0.28892,291.1125
AAPL,2026-06-09,300.27,300.75,287.78,290.55,70108847,-9.72,-3.24,294.8375
AAPL,2026-06-08,308.74,317.4,301.17,301.54,77949100,-7.2,-2.33,307.2125
AAPL,2026-06-05,312.86,315.17,307.15,307.34,65310502,-5.52,-1.76,310.63
AAPL,2026-06-04,313.23,313.54,309.65,311.23,44869134,-2.0,-0.63851,311.9125
