ts_local,country,price_day_ahead_eur_mwh,price_intraday_eur_mwh,load_actual_mw,load_dayahead_mw
1/1/2021 0:00,CZ,45.54,,6016.58,5839
1/1/2021 1:00,CZ,41.59,,5952.35,5789
1/1/2021 2:00,CZ,40.05,,5941.59,5794
1/1/2021 3:00,CZ,36.9,,5839.19,5689
1/1/2021 4:00,CZ,34.47,,5845.25,5636
1/1/2021 5:00,CZ,32.82,,5872.67,5691
1/1/2021 6:00,CZ,30.71,,5864.54,5622
1/1/2021 7:00,CZ,15,,5914.77,5623
1/1/2021 8:00,CZ,8.43,,5953.36,5685
1/1/2021 9:00,CZ,26.2,,6332.25,6127
1/1/2021 10:00,CZ,31.64,,6697.63,6561
1/1/2021 11:00,CZ,42.4,,6837.93,6736
1/1/2021 12:00,CZ,43.88,,6800.73,6742
1/1/2021 13:00,CZ,45.1,,6884.17,6832
1/1/2021 14:00,CZ,43.01,,6801.1,6807
1/1/2021 15:00,CZ,44.32,,6867.49,6945
1/1/2021 16:00,CZ,49.33,,7028.33,7154
1/1/2021 17:00,CZ,54.81,,7188.49,7303
1/1/2021 18:00,CZ,55,,7182.32,7322
1/1/2021 19:00,CZ,55,,7081.96,7277
1/1/2021 20:00,CZ,54.74,,6979.72,7201
1/1/2021 21:00,CZ,51.5,,6650.14,6859
1/1/2021 22:00,CZ,51.25,,6541.53,6769
1/1/2021 23:00,CZ,46.83,,6273.39,6433
1/2/2021 0:00,CZ,44.1,,5849.03,6328
1/2/2021 1:00,CZ,38.54,,5829.96,6291
1/2/2021 2:00,CZ,38.08,,5934.3,6311
1/2/2021 3:00,CZ,37.1,,5854.23,6306
1/2/2021 4:00,CZ,36.88,,5930.76,6357
1/2/2021 5:00,CZ,37.2,,6031.93,6391
1/2/2021 6:00,CZ,40.56,,6232.91,6737
1/2/2021 7:00,CZ,45.2,,6476.36,7079
1/2/2021 8:00,CZ,49.67,,6662.69,7294
1/2/2021 9:00,CZ,55.43,,7120.25,7794
1/2/2021 10:00,CZ,57.33,,7532.8,8095
1/2/2021 11:00,CZ,57.4,,7769.68,8208
1/2/2021 12:00,CZ,56.9,,7752.62,8154
1/2/2021 13:00,CZ,55.3,,7843.51,8126
1/2/2021 14:00,CZ,55,,7706.35,8010
1/2/2021 15:00,CZ,56.32,,7682.69,8016
1/2/2021 16:00,CZ,63.1,,7699.4,8059
1/2/2021 17:00,CZ,65.58,,7702.03,8023
1/2/2021 18:00,CZ,65.22,,7646.92,7893
1/2/2021 19:00,CZ,62.25,,7455.07,7796
1/2/2021 20:00,CZ,57.92,,7274.25,7616
1/2/2021 21:00,CZ,53.25,,6899.18,7276
1/2/2021 22:00,CZ,52.78,,6763.16,7026
1/2/2021 23:00,CZ,48.08,,6483.52,6684
1/3/2021 0:00,CZ,39.01,,6044.63,6234
1/3/2021 1:00,CZ,38.61,,5996.82,6222
1/3/2021 2:00,CZ,35.5,,6061.9,6276
1/3/2021 3:00,CZ,34,,5985.08,6281
