Feature,Importance
price_lag_24,0.13680335174989125
hour,0.10660480056902522
renewable_share,0.10321800797621221
temperature,0.09142974597979275
rolling_std_24,0.08959647037002508
price_lag_1,0.07946231869187441
wind_generation,0.07525896006428157
holiday_flag,0.0638322243423325
load_lag_24,0.05300895675273517
month,0.05090115984257312
solar_generation,0.05074164832510577
rolling_mean_24,0.03478970829338523
load_lag_1,0.03195506855492858
day_of_week,0.024304396242436205
demand_forecast,0.008093182245400838
