feature,importance
lag_1,0.5946229502268163
lag_4,0.23200251806250255
evening_peak,0.053322964549512755
shortwave_radiation,0.01900624965020588
rolling_mean_96,0.011673514575796221
hour,0.01026497897225174
morning_ramp,0.00756694655288429
rolling_mean_672,0.00756102642028819
lag_96,0.006927490957542451
rolling_std_96,0.0067340618804077
dst_flag,0.005265590043867125
weekend,0.004913293050159703
temperature_2m,0.004879755091093519
is_off_peak,0.004816769211602653
wind_speed_10m,0.004587319206060319
day_of_week,0.0044423967459138
lag_672,0.0043689022612056
is_peak,0.004345117296268249
month,0.00428282561714736
cloud_cover,0.00335034542566954
night_period,0.002779048131972957
precipitation,0.0022859375958708297
