feature,importance
lag_1,0.689333648553319
evening_peak,0.07095373804615629
lag_4,0.05890045376049535
shortwave_radiation,0.041458621193790596
hour,0.01909186648504985
rolling_mean_96,0.0148623271816363
weekend,0.01282107421203965
morning_ramp,0.0110239662816451
day_of_week,0.0097114424342414
rolling_mean_672,0.0085344133215074
temperature_2m,0.0078561824030253
rolling_std_96,0.0077316449665142
dst_flag,0.00705202488605245
month,0.005852948606875
night_period,0.00560647123359745
lag_96,0.00485761855418025
is_off_peak,0.00455937153183895
wind_speed_10m,0.0042987823775175495
is_peak,0.00425751957358935
lag_672,0.0042185031748558
cloud_cover,0.00389782830290435
precipitation,0.00311957946186065
