feature,importance
lag_1,0.7177674463303837
lag_4,0.1059807311211183
evening_peak,0.0464205034150273
shortwave_radiation,0.0204043284720628
rolling_mean_96,0.01324969159807795
hour,0.0094638772394518
is_peak,0.00922627686757475
lag_96,0.0089266754370334
rolling_std_96,0.0084387099357238
is_off_peak,0.008286511599072802
morning_ramp,0.00725136155374655
rolling_mean_672,0.0068151859351464495
wind_speed_10m,0.0057518257490953495
temperature_2m,0.0051894006584242
dst_flag,0.00458038956274755
lag_672,0.0042540705819601
cloud_cover,0.00421317292048965
day_of_week,0.00383457413016375
weekend,0.00349218954710725
month,0.0031080700914986998
precipitation,0.0017166410344869498
night_period,0.0016283520169367166
