feature,importance
lag_1,0.7459833315571187
lag_4,0.1004074579895268
evening_peak,0.09990888855674125
shortwave_radiation,0.00800155004917785
morning_ramp,0.00625263665454065
rolling_mean_96,0.00622940965821475
hour,0.005461236808761
dst_flag,0.003449336016055527
rolling_std_96,0.0031776464251501
rolling_mean_672,0.002574542309954
temperature_2m,0.00214730298397335
is_off_peak,0.0019006700908769667
month,0.00179090742218335
wind_speed_10m,0.0016111105333667
cloud_cover,0.00160633469776685
lag_96,0.0015697832197504999
lag_672,0.0015354355482134498
day_of_week,0.0014368965829933498
night_period,0.0013399086532733075
precipitation,0.00129725477868085
is_peak,0.0012192043346945954
weekend,0.0010990895289513347
