country,model,MAE,RMSE,MAPE,R2
france,Exponential_Smoothing,65.0246,77.3089,inf,-0.6662
france,Naive,65.4224,77.9121,inf,-0.6923
france,ARIMA,65.9227,78.6603,inf,-0.7249
france,Moving_Average,72.2345,87.6725,inf,-1.1428
france,Holt_Winters,117.4228,139.3378,inf,-4.4125
germany,Moving_Average,48.2688,62.0148,inf,-0.1757
germany,ARIMA,51.418,64.6111,inf,-0.2762
germany,Exponential_Smoothing,54.3481,67.2025,inf,-0.3806
germany,Naive,59.976,72.5146,inf,-0.6075
germany,Holt_Winters,75.4099,89.0567,inf,-1.4246
italy,Moving_Average,32.9275,42.424,inf,-0.2081
italy,ARIMA,36.5318,44.9056,inf,-0.3536
italy,Naive,36.9647,45.2205,inf,-0.3726
italy,Exponential_Smoothing,36.9647,45.2205,inf,-0.3726
italy,Holt_Winters,114.0879,134.1475,inf,-11.0795
netherlands,Moving_Average,53.7282,77.3423,inf,-0.0421
netherlands,Exponential_Smoothing,110.4403,133.2632,inf,-2.0938
netherlands,Naive,110.5011,133.3175,inf,-2.0963
netherlands,ARIMA,114.8013,137.0735,inf,-2.2732
netherlands,Holt_Winters,220.5336,244.7325,inf,-9.434
spain,Moving_Average,47.7755,55.9257,inf,-0.0391
spain,ARIMA,45.8037,57.7007,inf,-0.1061
spain,Naive,46.0923,58.3596,inf,-0.1315
spain,Exponential_Smoothing,46.0923,58.3596,inf,-0.1315
spain,Holt_Winters,2390.5102,2748.0891,inf,-2508.0179
