feature,importance,country,model
hour,0.003680797954116487,france,Random_Forest
day_of_week,0.000791556561950092,france,Random_Forest
month,0.001017744635189816,france,Random_Forest
weekend,6.599226673006076e-05,france,Random_Forest
dst_flag,0.0002043217740140132,france,Random_Forest
is_peak,0.0001424888743200029,france,Random_Forest
is_off_peak,0.0001435282110425039,france,Random_Forest
night_period,5.154157257501894e-05,france,Random_Forest
morning_ramp,0.00037029880492139383,france,Random_Forest
evening_peak,0.0012711819126037514,france,Random_Forest
lag_1,0.9517460411316145,france,Random_Forest
lag_4,0.01183321557519785,france,Random_Forest
lag_96,0.003609020173284455,france,Random_Forest
lag_672,0.002800569458988691,france,Random_Forest
rolling_mean_96,0.004466309622906749,france,Random_Forest
rolling_std_96,0.0029504200454611657,france,Random_Forest
rolling_mean_672,0.0025852710361293518,france,Random_Forest
temperature_2m,0.003035496011205995,france,Random_Forest
wind_speed_10m,0.0027720947675686112,france,Random_Forest
shortwave_radiation,0.004448896524885333,france,Random_Forest
cloud_cover,0.0013931596434038547,france,Random_Forest
precipitation,0.0006200534418902351,france,Random_Forest
hour,0.017041701823472977,france,XGBoost
day_of_week,0.005991441197693348,france,XGBoost
month,0.0075905099511146545,france,XGBoost
weekend,0.007279970217496157,france,XGBoost
dst_flag,0.009695904329419136,france,XGBoost
is_peak,0.008690017275512218,france,XGBoost
is_off_peak,0.010343078523874283,france,XGBoost
night_period,0.003997779451310635,france,XGBoost
morning_ramp,0.017677895724773407,france,XGBoost
evening_peak,0.08070927858352661,france,XGBoost
lag_1,0.5084787607192993,france,XGBoost
lag_4,0.19563712179660797,france,XGBoost
lag_96,0.005745045840740204,france,XGBoost
lag_672,0.007274520583450794,france,XGBoost
rolling_mean_96,0.021515896543860435,france,XGBoost
rolling_std_96,0.008969266898930073,france,XGBoost
rolling_mean_672,0.018779166042804718,france,XGBoost
temperature_2m,0.00776724424213171,france,XGBoost
wind_speed_10m,0.011261751875281334,france,XGBoost
shortwave_radiation,0.03311949223279953,france,XGBoost
cloud_cover,0.006211159285157919,france,XGBoost
precipitation,0.006223072297871113,france,XGBoost
hour,0.005192796971023231,germany,Random_Forest
day_of_week,0.0009776665631884233,germany,Random_Forest
month,0.0016205966388268707,germany,Random_Forest
weekend,0.00017538880837296891,germany,Random_Forest
dst_flag,0.00012339301460890555,germany,Random_Forest
is_peak,0.00013389783482100747,germany,Random_Forest
