Feature,Importance
rolling_mean_24,0.13074260031039955
load_lag_24,0.12815506543753513
month,0.11675943013984393
rolling_std_24,0.11221219706646025
temperature,0.09867184166709354
price_lag_1,0.0954472725719676
holiday_flag,0.0810295302658676
wind_generation,0.08069839351289539
load_lag_1,0.050487526185569225
renewable_share,0.028623038951292954
demand_forecast,0.024509771666943556
solar_generation,0.021031112018161557
hour,0.02102786065887105
day_of_week,0.007829596197382282
price_lag_24,0.0027747633497162403
