feature,importance
lag_1,0.7301124009254569
lag_4,0.10373516868590285
evening_peak,0.04099023024806515
shortwave_radiation,0.018784194378842402
rolling_mean_96,0.01299110308338355
rolling_mean_672,0.010682218539467
hour,0.01036124988879465
morning_ramp,0.00902409726484735
wind_speed_10m,0.00701692332142495
rolling_std_96,0.00595984347219555
temperature_2m,0.0054013701266687995
is_off_peak,0.00524330336745835
lag_672,0.00503754502121965
dst_flag,0.00495011305171655
lag_96,0.0046770330070123
is_peak,0.0044162530749160996
month,0.0043041272931522
cloud_cover,0.00380215946428085
weekend,0.0036729812421130805
precipitation,0.0034215628698806497
day_of_week,0.00339149887982165
night_period,0.0020246605119428095
