feature,importance
lag_4,0.7909887787554694
lag_1,0.08991792376780336
lag_96,0.0146063445697358
rolling_mean_96,0.01103504135766855
rolling_mean_672,0.0091987719953661
rolling_std_96,0.00836246460245485
evening_peak,0.00834146248157375
hour,0.006946664439201399
lag_672,0.006798956979778999
shortwave_radiation,0.006382554157155751
month,0.00635807467202755
dst_flag,0.00629608670276355
morning_ramp,0.0042826710096418
wind_speed_10m,0.00425795404889705
is_off_peak,0.0040939894687662005
day_of_week,0.0038375717023488498
temperature_2m,0.0038045192833759496
weekend,0.0034811307205872
night_period,0.0032958482441145
cloud_cover,0.003232231742906
is_peak,0.00260633263056645
precipitation,0.0018746498344450499
