feature,mean_abs_shap
lag_4,22.445364932526896
lag_1,9.164080419463014
lag_96,4.559808060271123
evening_peak,3.042924949014212
day_of_week,2.2243685656802774
rolling_mean_96,1.8061121652397845
shortwave_radiation,1.617409718602181
lag_672,1.3061507736077151
night_period,1.2779496824725294
weekend,1.2740962126709645
temperature_2m,1.2128621870185692
wind_speed_10m,1.1133987043716111
is_off_peak,1.0374535552255642
is_peak,1.0374535552255186
morning_ramp,0.9754093218655293
month,0.48942552220408836
dst_flag,0.46070667596304066
rolling_std_96,0.17723779635065415
precipitation,0.1671414485431873
cloud_cover,0.12251842308599029
rolling_mean_672,0.07931568558790032
hour,0.05752942536436391
