feature,mean_abs_shap
lag_1,22.01854439698406
shortwave_radiation,3.3517575036819895
rolling_mean_96,2.329950698799452
evening_peak,1.3274345856350203
lag_96,1.2119805736351161
lag_4,0.7988175074249098
is_off_peak,0.7940471503087826
is_peak,0.7940471502404102
temperature_2m,0.7384321174951718
rolling_std_96,0.5968213679271163
morning_ramp,0.5587727871079312
day_of_week,0.517179582421843
night_period,0.4871922891729866
weekend,0.4796681361964326
rolling_mean_672,0.40850098452143907
hour,0.27157803897009075
wind_speed_10m,0.24527992543283528
lag_672,0.16269794516997416
month,0.05311801273716781
precipitation,0.02086426491741852
cloud_cover,0.010095177888118997
dst_flag,0.0
