feature,mean_abs_shap
lag_1,39.204713102061035
lag_4,7.935441776100115
lag_96,3.4836345681139913
night_period,2.221605267173623
lag_672,1.5609261851967835
rolling_mean_96,1.3743220071766504
hour,1.0782691851849013
wind_speed_10m,1.0368478688793825
is_peak,0.6923272784571891
is_off_peak,0.6923272784571806
day_of_week,0.5811243942204973
evening_peak,0.4775650727020031
cloud_cover,0.27160838166676793
shortwave_radiation,0.2524898831202925
weekend,0.23783448921781622
rolling_mean_672,0.2162102982594106
rolling_std_96,0.1559846040362518
morning_ramp,0.12490296622972015
temperature_2m,0.07566238008382159
month,0.04117135874617505
precipitation,0.006990407772071546
dst_flag,0.0
