datetime,solar_mwh,wind_onshore_mwh,wind_offshore_mwh,wind_total_mwh,country
2021-01-01 00:00:00,0.0,2.6,0.0,2.6,italy
2021-01-01 01:00:00,0.0,2.75,0.0,2.75,italy
2021-01-01 02:00:00,0.0,2.63,0.0,2.63,italy
2021-01-01 03:00:00,0.0,2.62,0.0,2.62,italy
2021-01-01 04:00:00,0.0,2.61,0.0,2.61,italy
2021-01-01 05:00:00,0.0,2.47,0.0,2.47,italy
2021-01-01 06:00:00,0.0,2.52,0.0,2.52,italy
2021-01-01 07:00:00,0.08,2.42,0.0,2.42,italy
2021-01-01 08:00:00,0.82,2.39,0.0,2.39,italy
2021-01-01 09:00:00,2.02,2.32,0.0,2.32,italy
2021-01-01 10:00:00,2.34,2.59,0.0,2.59,italy
2021-01-01 11:00:00,2.75,2.85,0.0,2.85,italy
2021-01-01 12:00:00,3.09,3.11,0.0,3.11,italy
2021-01-01 13:00:00,2.55,3.42,0.0,3.42,italy
2021-01-01 14:00:00,1.64,3.69,0.0,3.69,italy
2021-01-01 15:00:00,0.68,3.51,0.0,3.51,italy
2021-01-01 16:00:00,0.08,3.09,0.0,3.09,italy
2021-01-01 17:00:00,0.0,3.04,0.0,3.04,italy
2021-01-01 18:00:00,0.0,3.18,0.0,3.18,italy
2021-01-01 19:00:00,0.0,3.55,0.0,3.55,italy
2021-01-01 20:00:00,0.0,3.71,0.0,3.71,italy
2021-01-01 21:00:00,0.0,3.86,0.0,3.86,italy
2021-01-01 22:00:00,0.0,3.93,0.0,3.93,italy
2021-01-01 23:00:00,0.0,4.12,0.0,4.12,italy
2021-01-02 00:00:00,0.0,4.22,0.0,4.22,italy
2021-01-02 01:00:00,0.0,4.34,0.0,4.34,italy
2021-01-02 02:00:00,0.0,4.35,0.0,4.35,italy
2021-01-02 03:00:00,0.0,4.38,0.0,4.38,italy
2021-01-02 04:00:00,0.0,4.57,0.0,4.57,italy
2021-01-02 05:00:00,0.0,4.71,0.0,4.71,italy
2021-01-02 06:00:00,0.0,4.74,0.0,4.74,italy
2021-01-02 07:00:00,0.03,4.88,0.0,4.88,italy
2021-01-02 08:00:00,0.36,4.99,0.0,4.99,italy
2021-01-02 09:00:00,1.4,4.84,0.0,4.84,italy
2021-01-02 10:00:00,2.12,5.15,0.0,5.15,italy
2021-01-02 11:00:00,2.22,5.45,0.0,5.45,italy
2021-01-02 12:00:00,1.87,5.97,0.0,5.97,italy
2021-01-02 13:00:00,1.77,5.28,0.0,5.28,italy
2021-01-02 14:00:00,1.49,5.05,0.0,5.05,italy
2021-01-02 15:00:00,0.78,4.81,0.0,4.81,italy
2021-01-02 16:00:00,0.09,4.55,0.0,4.55,italy
2021-01-02 17:00:00,0.0,4.43,0.0,4.43,italy
2021-01-02 18:00:00,0.0,4.26,0.0,4.26,italy
2021-01-02 19:00:00,0.0,4.15,0.0,4.15,italy
2021-01-02 20:00:00,0.0,3.87,0.0,3.87,italy
2021-01-02 21:00:00,0.0,3.45,0.0,3.45,italy
2021-01-02 22:00:00,0.0,3.3,0.0,3.3,italy
2021-01-02 23:00:00,0.0,3.04,0.0,3.04,italy
2021-01-03 00:00:00,0.0,2.96,0.0,2.96,italy
2021-01-03 01:00:00,0.0,3.19,0.0,3.19,italy
2021-01-03 02:00:00,0.0,3.26,0.0,3.26,italy
2021-01-03 03:00:00,0.0,2.98,0.0,2.98,italy
2021-01-03 04:00:00,0.0,2.76,0.0,2.76,italy
2021-01-03 05:00:00,0.0,3.17,0.0,3.17,italy
2021-01-03 06:00:00,0.0,3.49,0.0,3.49,italy
2021-01-03 07:00:00,0.05,3.12,0.0,3.12,italy
2021-01-03 08:00:00,0.57,3.28,0.0,3.28,italy
2021-01-03 09:00:00,1.6,3.62,0.0,3.62,italy
2021-01-03 10:00:00,2.61,3.16,0.0,3.16,italy
2021-01-03 11:00:00,3.65,3.06,0.0,3.06,italy
2021-01-03 12:00:00,3.27,4.02,0.0,4.02,italy
2021-01-03 13:00:00,2.43,4.21,0.0,4.21,italy
2021-01-03 14:00:00,1.96,3.67,0.0,3.67,italy
2021-01-03 15:00:00,0.9,3.65,0.0,3.65,italy
2021-01-03 16:00:00,0.07,4.01,0.0,4.01,italy
2021-01-03 17:00:00,0.0,3.49,0.0,3.49,italy
2021-01-03 18:00:00,0.0,3.18,0.0,3.18,italy
2021-01-03 19:00:00,0.0,2.77,0.0,2.77,italy
2021-01-03 20:00:00,0.0,2.85,0.0,2.85,italy
2021-01-03 21:00:00,0.0,2.73,0.0,2.73,italy
2021-01-03 22:00:00,0.0,2.65,0.0,2.65,italy
2021-01-03 23:00:00,0.0,2.3,0.0,2.3,italy
2021-01-04 00:00:00,0.0,2.0,0.0,2.0,italy
2021-01-04 01:00:00,0.0,1.64,0.0,1.64,italy
2021-01-04 02:00:00,0.0,1.14,0.0,1.14,italy
2021-01-04 03:00:00,0.0,0.89,0.0,0.89,italy
2021-01-04 04:00:00,0.0,0.97,0.0,0.97,italy
2021-01-04 05:00:00,0.0,1.15,0.0,1.15,italy
2021-01-04 06:00:00,0.0,1.1,0.0,1.1,italy
2021-01-04 07:00:00,0.03,1.04,0.0,1.04,italy
2021-01-04 08:00:00,0.63,1.04,0.0,1.04,italy
