feature,importance
wind_lag_1,0.57713574
wind_lag_2,0.1600885
solar_lag_1,0.08361423
wind_roll_mean_3,0.03928735
solar_lag_24,0.032909255
wind_lag_3,0.022283167
solar_lag_48,0.011591593
solar_roll_mean_3,0.010197898
solar_lag_168,0.009716981
solar_roll_std_6,0.006761015
hour_cos,0.0053594355
wind_roll_std_3,0.0041665
solar_roll_std_3,0.0029891846
solar_lag_3,0.0025008025
hour,0.0023273225
wind_roll_mean_6,0.002154294
solar_roll_std_24,0.0021077744
solar_roll_mean_24,0.0020631
solar_lag_2,0.0018471973
hour_sin,0.0017943596
solar_roll_std_168,0.0015866077
year,0.0015230541
solar_roll_mean_6,0.0015016942
solar_roll_mean_168,0.0013016276
month_cos,0.0012418663
wind_roll_mean_24,0.0011750343
wind_roll_std_6,0.0011670694
wind_roll_std_24,0.0011655715
wind_roll_std_168,0.0011382236
wind_roll_mean_168,0.0010565404
wind_lag_24,0.0009754627
wind_lag_48,0.0009333643
wind_lag_168,0.00090629025
month_sin,0.0008797541
day_of_year,0.00086647016
day_of_month,0.00070989795
day_of_week,0.00057464966
month,0.0004011499
