datetime,renewable_total_mwh,prediction_mwh,absolute_error,error_mwh
2025-01-01,1035616.25,1020389.892,26164.59765625,15226.358000000007
2025-01-02,650139.0,666913.135,24498.455078125,-16774.13500000001
2025-01-03,807086.5,804010.453,15325.576171875,3076.0470000000205
2025-01-04,327965.5,336474.169,12812.9462890625,-8508.668999999994
2025-01-05,635589.5,627306.7660000001,16598.908203125,8282.733999999939
2025-01-06,1093246.25,1077229.991,27158.15625,16016.259000000078
2025-01-07,1004124.0,1002694.713,19583.98046875,1429.2870000000112
2025-01-08,674892.75,697765.888,28661.0673828125,-22873.138000000035
2025-01-09,475653.5,470328.4865,15622.205078125,5325.013500000001
2025-01-10,642904.5,651300.936,12485.736328125,-8396.435999999987
2025-01-11,619736.75,610798.806,17065.1796875,8937.944000000018
2025-01-12,325118.5,329920.4903,16093.01220703125,-4801.990300000005
2025-01-13,390701.25,384513.9257,22233.244384765625,6187.324299999978
2025-01-14,642845.0,640400.603,13951.79296875,2444.396999999997
2025-01-15,187401.75,208107.1318,22907.762329101562,-20705.381800000003
2025-01-16,260986.0,256978.8889,7749.8974609375,4007.111100000009
2025-01-17,182324.25,191460.943,12760.8798828125,-9136.693
2025-01-18,152264.25,143822.6636,13401.525390625,8441.5864
2025-01-19,245897.0,243983.3103,18727.583984375,1913.689699999988
2025-01-20,196265.75,206369.3125,14038.23681640625,-10103.5625
2025-01-21,239587.0,241481.2045,10512.51123046875,-1894.2044999999925
2025-01-22,402271.25,404575.1356,15349.1572265625,-2303.8855999999796
2025-01-23,791314.0,781716.76,17219.96875,9597.23999999999
2025-01-24,965233.25,964921.01,26716.15625,312.2399999999907
2025-01-25,598384.0,611428.4474,26736.0966796875,-13044.447399999946
2025-01-26,490097.75,485695.913,19534.2353515625,4401.8369999999995
2025-01-27,960594.25,974398.327,35022.95703125,-13804.077000000048
2025-01-28,653327.5,663703.936,23847.953125,-10376.435999999987
2025-01-29,810085.25,807400.751,28293.140625,2684.4989999999525
2025-01-30,434976.0,443218.54,16055.7001953125,-8242.539999999979
2025-01-31,444091.25,449840.56799999997,12576.1572265625,-5749.31799999997
2025-02-01,230022.0,235098.156,14246.012939453125,-5076.155999999988
2025-02-02,188004.5,198462.5988,17347.22265625,-10458.098800000007
2025-02-03,201710.75,210475.2859,12234.035400390625,-8764.535899999988
2025-02-04,388931.0,393860.5095,13677.7646484375,-4929.509499999986
2025-02-05,369864.75,389139.5085,20278.080078125,-19274.758499999996
2025-02-06,274906.75,279383.9433,18854.4912109375,-4477.193299999984
2025-02-07,876900.5,870846.995,21637.798828125,6053.505000000005
2025-02-08,647542.75,648957.111,19555.966796875,-1414.3610000000335
2025-02-09,443000.5,449905.944,16157.2470703125,-6905.444000000018
2025-02-10,718647.25,709787.59,15466.61328125,8859.660000000033
2025-02-11,688166.0,697939.162,20657.603515625,-9773.162000000011
2025-02-12,456214.75,472198.028,16344.48681640625,-15983.277999999991
2025-02-13,240070.75,245857.4516,13335.1796875,-5786.7016
2025-02-14,120102.25,127891.17776,9790.590270996094,-7788.927760000006
2025-02-15,116364.5,106455.8002,13093.46533203125,9908.699800000002
2025-02-16,338829.5,341085.3195,14112.6748046875,-2255.8194999999832
2025-02-17,301160.0,298114.521,16652.435546875,3045.478999999992
2025-02-18,495218.25,491761.25659999996,16321.32421875,3456.9934000000358
2025-02-19,816046.0,816265.331,34549.365234375,-219.3310000000056
2025-02-20,683803.0,688698.1900000001,13924.4453125,-4895.1900000000605
