feature,importance
solar_lag_24,0.44440153
solar_lag_1,0.12543018
solar_lag_48,0.1108473
wind_lag_1,0.092582464
solar_lag_168,0.07702358
wind_roll_mean_3,0.032749705
solar_roll_std_6,0.025472926
solar_roll_mean_3,0.01576137
wind_roll_mean_6,0.01382722
wind_lag_3,0.01358061
hour_cos,0.008720852
solar_roll_std_3,0.0064286436
hour,0.005076323
hour_sin,0.003516438
solar_roll_mean_24,0.0032590856
solar_roll_std_24,0.0030253308
solar_lag_2,0.0028432026
solar_lag_3,0.0024039333
solar_roll_mean_6,0.002345129
month_cos,0.0019665118
solar_roll_std_168,0.0012188314
solar_roll_mean_168,0.0011555023
wind_lag_2,0.0008662466
year,0.00073184667
wind_roll_mean_24,0.0006331067
wind_roll_std_3,0.000590253
day_of_year,0.00046359943
month_sin,0.00035899426
wind_roll_mean_168,0.00035508504
wind_roll_std_24,0.0003138002
wind_roll_std_168,0.0003072972
month,0.00028518122
wind_roll_std_6,0.00028512982
wind_lag_48,0.0002706128
wind_lag_168,0.0002602742
wind_lag_24,0.00025776427
day_of_month,0.0002280258
day_of_week,0.00015602064
