trader_id,market_id,asset_id,trade_date,volume_mwh,price,trade_type,trade_timestamp
8,3,6,2025-10-30,23,99.56,SELL,2025-10-30 22:00:00
7,4,4,2025-02-05,417,161.31,BUY,2025-02-05 20:00:00
13,1,3,2025-08-13,214,85.34,BUY,2025-08-13 14:00:00
9,4,10,2025-08-05,328,82.22,SELL,2025-08-05 07:00:00
11,4,9,2025-08-27,362,273.38,BUY,2025-08-27 22:00:00
9,1,4,2025-09-19,292,63.63,BUY,2025-09-19 01:00:00
11,4,10,2025-01-20,108,115.23,SELL,2025-01-20 10:00:00
14,3,6,2025-07-04,85,117.57,BUY,2025-07-04 10:00:00
15,1,10,2025-08-21,63,112.77,SELL,2025-08-21 10:00:00
1,5,3,2025-12-13,119,161.65,BUY,2025-12-13 18:00:00
1,1,6,2025-03-12,450,53.65,BUY,2025-03-12 05:00:00
3,2,10,2025-02-02,86,84.92,BUY,2025-02-02 01:00:00
7,3,8,2025-10-17,54,71.4,BUY,2025-10-17 13:00:00
3,5,2,2025-04-12,476,111.25,BUY,2025-04-12 09:00:00
3,3,6,2025-08-10,166,91.39,BUY,2025-08-10 07:00:00
4,3,6,2025-07-30,177,105.08,BUY,2025-07-30 11:00:00
8,1,5,2025-09-25,95,84.44,BUY,2025-09-25 12:00:00
14,5,9,2025-02-19,437,135.98,SELL,2025-02-19 08:00:00
1,1,5,2025-07-09,128,133.23,BUY,2025-07-09 19:00:00
4,2,10,2025-05-22,474,72.64,SELL,2025-05-22 01:00:00
4,2,8,2025-09-24,415,54.22,BUY,2025-09-24 12:00:00
13,2,3,2025-12-28,317,82.18,BUY,2025-12-28 02:00:00
8,1,2,2025-04-17,12,72.82,SELL,2025-04-17 14:00:00
7,1,9,2025-11-24,239,46.88,BUY,2025-11-24 01:00:00
4,2,3,2025-03-27,245,77.41,BUY,2025-03-27 07:00:00
12,1,8,2025-04-25,440,109.82,BUY,2025-04-25 11:00:00
8,4,2,2025-01-08,106,152.97,BUY,2025-01-08 21:00:00
11,4,10,2025-04-24,331,104.97,BUY,2025-04-24 22:00:00
3,4,6,2025-05-06,78,196.19,SELL,2025-05-06 05:00:00
10,3,10,2025-07-14,175,117.52,BUY,2025-07-14 02:00:00
14,5,2,2025-03-21,65,50.93,SELL,2025-03-21 03:00:00
7,5,4,2025-11-19,69,59.66,BUY,2025-11-19 06:00:00
9,5,4,2025-02-22,447,149.29,SELL,2025-02-22 19:00:00
6,2,8,2025-03-05,178,77.46,BUY,2025-03-05 16:00:00
4,4,10,2025-05-29,116,40.88,SELL,2025-05-29 04:00:00
4,4,5,2025-06-12,402,45.11,BUY,2025-06-12 02:00:00
1,1,9,2025-08-13,17,89.49,SELL,2025-08-13 17:00:00
6,3,3,2025-12-18,328,107.43,SELL,2025-12-18 09:00:00
3,3,4,2025-11-10,342,73.74,BUY,2025-11-10 01:00:00
3,4,1,2025-04-19,134,104.61,BUY,2025-04-19 20:00:00
1,1,10,2025-10-21,98,86.25,BUY,2025-10-21 09:00:00
7,4,10,2025-09-17,348,118.36,BUY,2025-09-17 19:00:00
9,2,9,2025-08-17,48,87.13,SELL,2025-08-17 14:00:00
3,2,8,2025-10-23,451,111.26,SELL,2025-10-23 19:00:00
7,5,7,2025-02-02,103,91.99,BUY,2025-02-02 07:00:00
9,5,5,2025-12-09,282,149.61,SELL,2025-12-09 18:00:00
15,4,8,2025-05-12,472,108.42,SELL,2025-05-12 08:00:00
14,5,2,2025-03-08,114,56.86,BUY,2025-03-08 01:00:00
3,4,3,2025-06-14,287,75.61,BUY,2025-06-14 07:00:00
9,3,5,2025-11-11,193,120.73,BUY,2025-11-11 19:00:00
11,2,9,2025-05-09,353,72.13,BUY,2025-05-09 01:00:00
2,1,3,2025-02-12,56,89.08,BUY,2025-02-12 13:00:00
3,1,6,2025-06-10,100,55.69,SELL,2025-06-10 03:00:00
11,3,1,2025-11-29,261,129.35,BUY,2025-11-29 21:00:00
4,4,7,2025-10-14,194,86.03,BUY,2025-10-14 09:00:00
14,2,5,2025-08-25,288,120.3,SELL,2025-08-25 11:00:00
7,4,2,2025-01-07,364,91.71,SELL,2025-01-07 17:00:00
11,4,3,2025-06-29,162,53.25,BUY,2025-06-29 01:00:00
9,3,10,2025-02-11,30,137.69,SELL,2025-02-11 11:00:00
13,3,10,2025-11-14,409,122.71,BUY,2025-11-14 21:00:00
1,5,2,2025-02-12,52,125.52,SELL,2025-02-12 08:00:00
12,3,2,2025-11-24,463,118.95,SELL,2025-11-24 21:00:00
9,5,8,2025-09-26,93,73.78,SELL,2025-09-26 07:00:00
10,1,4,2025-11-25,499,111.61,BUY,2025-11-25 20:00:00
13,5,1,2025-10-13,125,57.31,BUY,2025-10-13 23:00:00
5,5,6,2025-11-26,58,119.29,BUY,2025-11-26 20:00:00
15,1,8,2025-12-22,439,137.24,BUY,2025-12-22 09:00:00
14,2,5,2025-02-06,288,86.92,SELL,2025-02-06 14:00:00
4,4,2,2025-07-23,267,85.31,BUY,2025-07-23 15:00:00
14,4,10,2025-07-22,127,131.17,BUY,2025-07-22 11:00:00
13,3,5,2025-09-21,479,97.37,BUY,2025-09-21 19:00:00
11,3,6,2025-12-24,454,88.46,BUY,2025-12-24 03:00:00
12,2,1,2025-12-28,100,147.88,SELL,2025-12-28 20:00:00
6,3,3,2025-10-28,420,111.61,BUY,2025-10-28 08:00:00
10,4,10,2025-08-08,198,146.66,SELL,2025-08-08 20:00:00
5,5,2,2025-03-27,200,102.58,SELL,2025-03-27 22:00:00
5,5,1,2025-01-03,276,99.11,BUY,2025-01-03 16:00:00
12,3,6,2025-11-30,20,74.38,BUY,2025-11-30 14:00:00
5,4,4,2025-04-18,406,48.03,SELL,2025-04-18 00:00:00
15,1,6,2025-08-16,108,79.42,BUY,2025-08-16 15:00:00
8,1,4,2025-03-26,434,89.47,BUY,2025-03-26 11:00:00
13,5,4,2025-04-23,81,76.23,BUY,2025-04-23 07:00:00
