datetime,price_eur_mwh,load_mw,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal.1,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage.1,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,renewable_generation,fossil_generation,residual_load,hour,day_of_week,month,quarter,weekend,season,temperature_2m,wind_speed_10m,shortwave_radiation,cloud_cover,precipitation
2020-01-01 00:00:00+01:00,41.88,64677.0,347.0,6483.0,44.0,0.0,195.0,253.0,0.0,6139.0,2637.0,49003.0,0.0,217.0,3361.0,12484.0,6722.0,52193.0,0,2,1,1,0,Winter,-0.8,4.0,0.0,100,0.0
2020-01-01 01:00:00+01:00,38.6,63142.0,348.0,5576.0,44.0,0.0,203.0,374.0,0.0,5920.0,2359.0,49462.0,0.0,216.0,2810.0,11437.0,5823.0,51705.0,1,2,1,1,0,Winter,-1.0,4.0,0.0,100,0.0
2020-01-01 02:00:00+01:00,36.55,61612.0,347.0,4257.0,44.0,0.0,203.0,0.0,95.0,5793.0,1765.0,49565.0,0.0,216.0,2655.0,10560.0,4504.0,51052.0,2,2,1,1,0,Winter,2.2,2.6,0.0,100,0.0
2020-01-01 03:00:00+01:00,32.32,58419.0,348.0,2874.0,44.0,0.0,201.0,0.0,868.0,5559.0,1296.0,49580.0,0.0,217.0,2736.0,9939.0,3119.0,48480.0,3,2,1,1,0,Winter,1.5,3.4,0.0,94,0.0
2020-01-01 04:00:00+01:00,30.85,56268.0,348.0,2823.0,44.0,0.0,200.0,0.0,2443.0,5400.0,960.0,49271.0,0.0,217.0,2631.0,9339.0,3067.0,46929.0,4,2,1,1,0,Winter,1.3,4.2,0.0,92,0.0
2020-01-01 05:00:00+01:00,30.14,55937.0,347.0,2834.0,44.0,0.0,200.0,0.0,3349.0,5347.0,940.0,49438.0,0.0,218.0,2533.0,9167.0,3078.0,46770.0,5,2,1,1,0,Winter,1.7,6.6,0.0,93,0.0
2020-01-01 06:00:00+01:00,30.17,56162.0,348.0,2841.0,44.0,0.0,200.0,0.0,3053.0,5224.0,986.0,49542.0,0.0,217.0,2341.0,8899.0,3085.0,47263.0,6,2,1,1,0,Winter,1.6,6.6,0.0,94,0.0
2020-01-01 07:00:00+01:00,30.0,56390.0,348.0,2994.0,42.0,0.0,200.0,0.0,3326.0,5226.0,985.0,49289.0,0.0,218.0,2185.0,8744.0,3236.0,47646.0,7,2,1,1,0,Winter,1.8,5.2,0.0,100,0.0
2020-01-01 08:00:00+01:00,30.65,56153.0,349.0,3061.0,42.0,0.0,200.0,0.0,3431.0,5345.0,935.0,48860.0,175.0,217.0,1917.0,8721.0,3303.0,47432.0,8,2,1,1,0,Winter,1.9,6.6,0.0,100,0.0
2020-01-01 09:00:00+01:00,30.65,56766.0,349.0,3345.0,42.0,0.0,200.0,0.0,3355.0,5444.0,784.0,48797.0,640.0,217.0,1694.0,8911.0,3587.0,47855.0,9,2,1,1,0,Winter,1.8,8.4,0.0,100,0.0
2020-01-01 10:00:00+01:00,30.27,58512.0,349.0,3446.0,44.0,0.0,203.0,0.0,3222.0,5446.0,1036.0,48703.0,1464.0,216.0,1623.0,9918.0,3693.0,48594.0,10,2,1,1,0,Winter,1.8,9.4,0.0,100,0.0
2020-01-01 11:00:00+01:00,30.34,60243.0,348.0,3547.0,44.0,0.0,204.0,0.0,2684.0,5367.0,1095.0,48751.0,2100.0,218.0,1578.0,10488.0,3795.0,49755.0,11,2,1,1,0,Winter,2.1,9.7,16.0,100,0.0
2020-01-01 12:00:00+01:00,30.99,62966.0,349.0,3593.0,45.0,0.0,204.0,0.0,1845.0,5399.0,1464.0,49217.0,2426.0,217.0,1356.0,10994.0,3842.0,51972.0,12,2,1,1,0,Winter,2.5,11.2,45.0,100,0.0
2020-01-01 13:00:00+01:00,30.04,62086.0,348.0,3573.0,44.0,0.0,204.0,0.0,1717.0,5444.0,1743.0,49196.0,2354.0,215.0,1098.0,10987.0,3821.0,51099.0,13,2,1,1,0,Winter,3.1,12.2,90.0,100,0.0
2020-01-01 14:00:00+01:00,30.75,59477.0,347.0,3708.0,45.0,0.0,204.0,0.0,1312.0,5389.0,1499.0,48992.0,1875.0,215.0,997.0,10107.0,3957.0,49370.0,14,2,1,1,0,Winter,3.2,8.4,120.0,100,0.0
2020-01-01 15:00:00+01:00,32.11,57900.0,348.0,4236.0,44.0,0.0,204.0,0.0,473.0,5479.0,1964.0,49061.0,1038.0,215.0,1006.0,9835.0,4484.0,48065.0,15,2,1,1,0,Winter,3.6,9.2,60.0,100,0.0
