datetime,price_eur_mwh,load_mw,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Gas.1,Fossil Hard coal,Fossil Oil,Fossil Oil.1,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage.1,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir.1,Nuclear,Nuclear.1,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,renewable_generation,fossil_generation,residual_load,hour,day_of_week,month,quarter,weekend,season,temperature_2m,wind_speed_10m,shortwave_radiation,cloud_cover,precipitation
2020-07-01 00:00:00,23.92,46662.985,4396.295,7417.4875,7653.5075,0.44,1484.7875,398.0575,0.24,16.0925,977.445,495.825,2114.2075,376.4275,0.0,5261.0575,0.0,223.09,132.79,0.1575,357.045,3176.42,14253.565,24317.0725,16953.84,22345.9125,0,2,7,3,0,Summer,17.7,12.4,0.0,54,0.0
2020-07-01 01:00:00,25.04,44673.6175,4368.09,6626.15,7643.4525,0.4575,1446.96,397.47,0.23,16.53,1607.49,1630.71,2113.62,370.8425,0.0,5287.035,0.08,223.09,132.4375,0.19,356.8475,2827.4575,14438.9125,24119.1125,16114.0325,20554.505,1,2,7,3,0,Summer,16.9,10.7,0.0,100,0.0
2020-07-01 02:00:00,25.59,43375.15,4352.4375,6208.9075,7744.3,0.415,1440.4925,397.3475,0.2324999999999999,16.65,1550.29,2051.0775,2114.145,225.32,0.0,5290.295,0.1633333333333333,223.09,131.81,0.1875,356.59000000000003,2753.4225,14278.065,23723.5775,15791.0475,19651.5725,2,2,7,3,0,Summer,18.1,10.5,0.0,100,0.0
2020-07-01 03:00:00,25.03,43654.56,4364.565,6663.9725,7764.5975,0.4175,1455.2375,398.18,0.245,16.8175,1658.0575,1488.1725,2116.37,216.325,0.0,5298.15,0.1633333333333333,223.09,131.4525,0.22,356.625,2607.1825,13888.37,23193.0325,16281.9875,20461.5275,3,2,7,3,0,Summer,17.8,16.3,0.0,84,0.6
2020-07-01 04:00:00,24.78,44222.095,4385.69,7141.9275,7778.4325,0.43,1506.4525,396.76,0.2425,17.122500000000002,1838.38,928.215,2118.51,463.6775,0.0,5305.9400000000005,0.3825,223.09,131.73000000000002,1.6425,355.4375,2172.6525,12610.275,21752.4475,16823.5725,22469.6475,4,2,7,3,0,Summer,18.5,19.4,0.0,89,0.0
2020-07-01 05:00:00,25.89,46158.677500000005,4432.8925,8171.34,8059.41,0.4175,1906.3475,397.93,0.245,17.4125,1314.4825,644.3075,2122.9225,501.355,0.0,5306.6275000000005,0.3399999999999999,223.09,131.5,207.5625,359.2375,1766.9325,11335.34,20367.005,18535.0275,25791.672500000008,5,2,7,3,0,Summer,18.4,20.1,0.0,81,0.0
2020-07-01 06:00:00,33.75,52031.72,4547.9975,9829.185,8702.4325,0.4325,2589.4825,397.885,0.21,17.04,1211.15,394.5925,2123.0025,690.3399999999999,0.0,5292.75,0.4675,223.09,132.6525,1700.5,359.72,1539.3375,10052.025,20653.2025,21518.985,31378.5175,6,2,7,3,0,Summer,18.3,19.1,26.0,99,0.0
2020-07-01 07:00:00,37.97,57285.42,4653.9125,10109.8525,8860.5475,0.4475,2810.01,398.3,0.1975,15.8975,1252.535,2190.63,2118.315,760.0825,0.0,5295.7525000000005,0.4075,223.09,130.9,5312.805,355.425,1400.2675,8739.807499999999,22985.19,22178.710000000003,34300.23,7,2,7,3,0,Summer,18.9,17.8,54.0,100,0.0
2020-07-01 08:00:00,39.99,61837.185,4708.7125,10186.615,8949.0075,0.455,2846.39,397.9625,0.2,14.5375,1456.215,1503.1,2112.7,812.975,0.0,5290.7225,0.1,223.09,130.85500000000002,10376.3,366.4875,1462.6525,8096.92,27570.26,22379.975,34266.925,8,2,7,3,0,Summer,18.9,16.8,93.0,98,0.2
2020-07-01 09:00:00,38.29,64229.915,4627.82,9970.345,9120.215,0.4725,2577.9725,397.845,0.2125,13.625,1709.295,1336.0975,2122.08,846.57,0.0,5285.825,0.0525,223.1475,131.35750000000002,15064.965,366.8275,1357.5525,8770.744999999999,32789.7325,22066.3775,31440.182500000003,9,2,7,3,0,Summer,20.4,19.7,226.0,81,0.0
