datetime,price_eur_mwh,load_mw,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,renewable_generation,fossil_generation,residual_load,hour,day_of_week,month,quarter,weekend,season,temperature_2m,wind_speed_10m,shortwave_radiation,cloud_cover,precipitation,price_lag_1,price_lag_24,price_lag_48,price_lag_168,price_rolling_mean_24,price_rolling_std_24,load_lag_24,renewable_lag_24,residual_load_lag_24,target_price_24h
2020-01-08 00:00:00,18.95,55068.1875,4653.8525,7580.1075,5719.7425,4527.1075,379.3125,28.3175,1033.3575,1432.1775,52.11,7702.23,398.2775,181.7875,0.12,851.2825,5025.297500000001,25052.245000000003,36215.802500000005,18206.27,18852.384999999995,0,2,1,1,0,Winter,3.0,15.5,0.0,82,0.0,26.28,30.75,29.16,41.88,40.03208333333333,9.751691036928435,51891.4975,28338.485,23553.0125,34.08
2020-01-08 01:00:00,4.96,53658.4675,4633.2625,7424.1925,5183.4225,4450.78,376.505,28.24,1898.5975,1438.4425,103.435,7692.2325,383.87,174.9625,0.1175,840.375,5034.3275,25935.645,37145.23,17434.9,16513.237499999996,1,2,1,1,0,Winter,2.6,15.9,0.0,97,0.0,18.95,31.03,29.0,38.6,38.94583333333333,11.992553818993244,50675.18,27770.4975,22904.6825,32.2
2020-01-08 02:00:00,0.1,52487.54,4647.6275000000005,6872.2225,5146.085,4444.005,373.255,28.2525,2142.9975,1427.3925,101.3925,7632.6,380.7725,172.995,0.1175,833.865,5041.9675,26486.205,37704.70250000001,16835.5675,14782.837499999994,2,2,1,1,0,Winter,3.8,17.8,0.0,99,0.0,4.96,29.88,29.08,36.55,37.705000000000005,14.291603494177364,49882.83,27462.9025,22419.9275,32.56
2020-01-08 03:00:00,0.11,52546.192500000005,4591.8,6834.1775,5083.030000000001,4397.5625,374.215,28.0025,2145.275,1411.3075,123.7575,7676.7675,380.84,172.6025,0.12,831.45,5034.0225,26437.4925,37598.5,16688.985,14947.692500000005,3,2,1,1,0,Winter,3.7,17.2,0.0,97,0.0,0.1,29.0,27.72,32.32,36.50125,16.152236434866413,50149.6325,27574.98,22574.6525,32.35
2020-01-08 04:00:00,1.75,53861.83,4577.1475,7247.1675,5132.4475,4464.475,376.345,27.525,2138.115,1404.94,159.135,7713.15,380.9975,173.21,0.1275,837.01,5249.44,25820.725,37211.51499999999,17220.435,16650.31500000001,4,2,1,1,0,Winter,3.7,19.8,0.0,100,0.0,0.11,29.65,27.03,30.85,35.33875,17.605403150984515,51480.0,27549.1375,23930.8625,29.0
2020-01-08 05:00:00,20.74,57033.3825,4596.974999999999,8955.275,5999.075,4831.57,375.0975,26.83,1607.0475,1406.4,115.83,7712.355,409.76,186.86,0.14,839.7525,5502.3625,25551.8725,37173.58,20161.0175,19859.8025,5,2,1,1,0,Winter,4.6,22.2,0.0,100,0.0,1.75,31.78,28.98,30.14,34.87875,17.845027881981455,54848.7825,27125.74,27723.042500000003,30.86
2020-01-08 06:00:00,25.57,64747.49,4671.1325,10478.37,7523.7375,5692.3275,373.545,26.2475,1140.31,1407.7625,118.5875,7712.3,419.5775,189.2825,0.2125,836.22,5506.435,25514.025,37218.155000000006,24067.98,27529.334999999992,6,2,1,1,0,Winter,4.9,20.5,0.0,97,0.0,20.74,40.87,33.18,30.17,34.24125,17.894909966730516,62265.725,26558.5375,35707.1875,38.95
2020-01-08 07:00:00,32.47,71218.3,4774.5625,11724.8775,10339.14,7698.075,375.8075,26.2475,1428.8225,1397.1425,73.635,7713.29,433.4425,190.1975,0.36,834.65,5882.3325,25581.7275,37709.76,30137.9,33508.54,7,2,1,1,0,Winter,4.9,21.4,0.0,97,0.1,25.57,49.01,43.13,30.0,33.552083333333336,17.61775536686403,68623.0325,25447.1175,43175.91500000001,46.86
2020-01-08 08:00:00,33.07,74170.8775,4811.6225,11793.4025,10926.8075,9024.095,381.9425,26.04,1052.0475,1387.0975,66.8375,7707.97,433.385,189.2075,94.735,832.93,6119.4775,25351.67,37831.44,32126.2475,36339.4375,8,2,1,1,0,Winter,4.9,19.5,0.0,100,0.0,32.47,51.09,44.52,30.65,32.80125,17.217263659907815,71067.6775,23629.3175,47438.36,47.92
2020-01-08 09:00:00,33.05,74156.3375,4813.3425,12096.915,11060.2575,9410.1225,386.87,25.7875,971.0,1371.7325,28.8475,7705.9875,433.385,192.47,669.4775,830.8275,6468.2325,24901.51,38253.1425,32954.165,35903.19499999999,9,2,1,1,0,Winter,5.0,20.3,0.0,100,0.0,33.07,51.12,44.96,30.65,32.04833333333334,16.770660111626785,71305.195,21947.4175,49357.77750000001,45.68
