,price_eur_mwh,load_mw,solar_mw,wind_onshore_mw,gas_mw,lignite_mw,oil_mw,hydro_reservoir_mw,hydro_pumped_mw,storage_mw
2019-12-31 23:00:00+00:00,66.01,5337.38,0.0,295.0,1609.0,1115.0,0.0,455.0,0.0,0.0
2020-01-01 00:00:00+00:00,66.01,5219.17,0.0,311.0,1455.0,1110.0,0.0,476.0,0.0,0.0
2020-01-01 01:00:00+00:00,58.99,4910.21,0.0,307.0,1258.0,1111.0,0.0,357.0,0.0,0.0
2020-01-01 02:00:00+00:00,53.16,4677.46,0.0,361.0,1106.0,1110.0,0.0,238.0,0.0,0.0
2020-01-01 03:00:00+00:00,53.48,4571.97,0.0,445.0,1014.0,1109.0,0.0,174.0,0.0,0.0
2020-01-01 04:00:00+00:00,53.49,4629.67,0.0,558.0,1012.0,1109.0,0.0,170.0,0.0,0.0
2020-01-01 05:00:00+00:00,54.0,4720.0,1.0,662.0,1013.0,1117.0,0.0,133.0,0.0,0.0
2020-01-01 06:00:00+00:00,50.78,4909.1,132.0,722.0,1013.0,1109.0,0.0,151.0,0.0,0.0
2020-01-01 07:00:00+00:00,51.02,5404.74,549.0,756.0,1049.0,1108.0,0.0,145.0,0.0,0.0
2020-01-01 08:00:00+00:00,54.62,5983.89,899.0,740.0,1219.0,1110.0,0.0,170.0,0.0,0.0
2020-01-01 09:00:00+00:00,55.84,6549.02,1167.0,733.0,1456.0,1137.0,0.0,198.0,0.0,0.0
2020-01-01 10:00:00+00:00,54.63,6656.94,1241.0,825.0,1410.0,1137.0,0.0,196.0,0.0,0.0
2020-01-01 11:00:00+00:00,51.03,6326.15,1124.0,950.0,1168.0,1104.0,0.0,143.0,0.0,0.0
2020-01-01 12:00:00+00:00,40.78,5740.08,865.0,1076.0,1075.0,1110.0,0.0,61.0,0.0,0.0
2020-01-01 13:00:00+00:00,44.14,5721.83,465.0,1132.0,1207.0,1113.0,0.0,65.0,0.0,0.0
2020-01-01 14:00:00+00:00,54.62,5812.96,132.0,1164.0,1373.0,1108.0,0.0,223.0,0.0,0.0
2020-01-01 15:00:00+00:00,52.11,5984.31,2.0,1290.0,1553.0,1095.0,0.0,278.0,0.0,0.0
2020-01-01 16:00:00+00:00,52.11,6424.17,0.0,1301.0,1930.0,1093.0,0.0,364.0,43.0,43.0
2020-01-01 17:00:00+00:00,52.34,6448.52,0.0,1294.0,1668.0,1088.0,0.0,632.0,86.0,86.0
2020-01-01 18:00:00+00:00,52.11,6425.15,0.0,1286.0,1648.0,1080.0,0.0,633.0,206.0,206.0
2020-01-01 19:00:00+00:00,51.48,6232.87,0.0,1292.0,1480.0,1090.0,0.0,431.0,308.0,308.0
2020-01-01 20:00:00+00:00,51.09,5918.65,0.0,1305.0,1436.0,1093.0,0.0,257.0,117.0,117.0
2020-01-01 21:00:00+00:00,51.03,5613.05,0.0,1286.0,1229.0,1093.0,0.0,186.0,133.0,133.0
2020-01-01 22:00:00+00:00,54.62,5101.76,0.0,1239.0,839.0,1167.0,0.0,201.0,121.0,121.0
2020-01-01 23:00:00+00:00,40.78,4624.61,0.0,1213.0,749.0,1149.0,0.0,125.0,0.0,0.0
2020-01-02 00:00:00+00:00,34.78,4505.32,0.0,1178.0,792.0,1106.0,0.0,138.0,0.0,0.0
2020-01-02 01:00:00+00:00,29.17,4321.27,0.0,1238.0,698.0,1095.0,0.0,59.0,0.0,0.0
2020-01-02 02:00:00+00:00,30.0,4203.24,0.0,1287.0,691.0,1097.0,0.0,58.0,0.0,0.0
2020-01-02 03:00:00+00:00,35.41,4241.77,0.0,1315.0,610.0,1100.0,0.0,49.0,0.0,0.0
2020-01-02 04:00:00+00:00,46.9,4631.49,0.0,1353.0,631.0,1119.0,0.0,76.0,0.0,0.0
2020-01-02 05:00:00+00:00,53.58,5158.25,1.0,1347.0,679.0,1201.0,0.0,140.0,5.0,5.0
2020-01-02 06:00:00+00:00,53.79,5741.29,127.0,1344.0,951.0,1178.0,0.0,284.0,87.0,87.0
2020-01-02 07:00:00+00:00,54.36,6474.42,577.0,1332.0,1194.0,1223.0,0.0,319.0,58.0,58.0
2020-01-02 08:00:00+00:00,51.1,6958.03,988.0,1364.0,1180.0,1321.0,0.0,310.0,0.0,0.0
2020-01-02 09:00:00+00:00,49.1,7147.28,1184.0,1368.0,1104.0,1342.0,0.0,319.0,0.0,0.0
2020-01-02 10:00:00+00:00,50.68,7320.25,1307.0,1338.0,1063.0,1354.0,0.0,463.0,0.0,0.0
2020-01-02 11:00:00+00:00,54.36,7324.18,1222.0,1315.0,1145.0,1375.0,0.0,408.0,0.0,0.0
2020-01-02 12:00:00+00:00,54.35,7111.34,1031.0,1314.0,1176.0,1312.0,0.0,385.0,0.0,0.0
2020-01-02 13:00:00+00:00,54.7,7185.89,655.0,1314.0,1667.0,1186.0,0.0,493.0,0.0,0.0
2020-01-02 14:00:00+00:00,58.0,7107.15,203.0,1324.0,2165.0,1206.0,0.0,555.0,19.0,19.0
2020-01-02 15:00:00+00:00,70.01,7232.52,4.0,1337.0,2219.0,1183.0,0.0,787.0,59.0,59.0
