feature,importance
price_lag_1,72.18098460362664
hour,6.196459867496058
price_lag_24,3.384022829294956
price_mean_24h,2.745777418592892
solar_mw,2.402369520371848
price_lag_168,1.6841202117585263
price_std_24h,1.5804262532778313
price_mean_168h,1.570855930655269
residual_load,1.5404335093535055
renewable_share,1.208890965327271
hydro_reservoir_mw,0.7893557206360916
gas_mw,0.6962800229042361
load_mw,0.6389032089758413
lignite_mw,0.616275765422837
biomass_mw,0.5381923556279153
wind_onshore_mw,0.42561426258953483
renewable_generation,0.3746040715565666
hydro_run_mw,0.3573981493776139
day_of_week,0.32794449096258843
hard_coal_mw,0.2626166094740692
month,0.22873091165098086
wind_offshore_mw,0.14722854432125357
weekend,0.10251477674565453
