feature,importance
price_lag_1,0.75773597
price_mean_24h,0.13796535
price_lag_24,0.02382051
residual_load,0.014511578
price_lag_168,0.010137189
hour,0.0060428637
weekend,0.0047951913
solar_mw,0.004466849
renewable_share,0.0043436154
biomass_mw,0.0042266576
price_std_24h,0.003976833
hydro_reservoir_mw,0.003650439
price_mean_168h,0.0035635142
day_of_week,0.003357883
renewable_generation,0.003283304
lignite_mw,0.0030593758
wind_onshore_mw,0.002641273
hard_coal_mw,0.0017199471
gas_mw,0.0015927196
month,0.0015771511
hydro_run_mw,0.0012795876
load_mw,0.0012575858
wind_offshore_mw,0.0009946954
